Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,58808,0,60,200.15538809706095,18.45499999990352,3420.4490420002003,9815.291252890764,16.343771069379663,0.0,60,200,310,390,570,720,890,970,1400,2900,3400
POST,/users,8220,0,45,161.56595830437644,16.07600000011189,2876.2160419998963,0.0,2.284481672396627,0.0,45,120,230,300,490,620,800,930,1300,2900,2900
DELETE,/users/1686824945901422287,1,0,19.56570899999832,19.56570899999832,19.56570899999832,19.56570899999832,0.0,0.0002779174783937502,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1686824945901422287,1,0,19.73570899999899,19.73570899999899,19.73570899999899,19.73570899999899,0.0,0.0002779174783937502,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/users/1686824949925353695,1,0,20.534459000000282,20.534459000000282,20.534459000000282,20.534459000000282,0.0,0.0002779174783937502,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686824951940352770,1,0,23.29754200000167,23.29754200000167,23.29754200000167,23.29754200000167,0.0,0.0002779174783937502,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/users/1686824951940352770,3,0,20,24.010902666666684,19.215499999999608,33.297790999998966,0.0,0.0008337524351812506,0.0,20,20,33,33,33,33,33,33,33,33,33
DELETE,/users/1686824954042554640,1,0,22.3632500000015,22.3632500000015,22.3632500000015,22.3632500000015,0.0,0.0002779174783937502,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686824964976848268,1,0,22.916249999997973,22.916249999997973,22.916249999997973,22.916249999997973,0.0,0.0002779174783937502,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1686824966000816064,1,0,20.890540999999985,20.890540999999985,20.890540999999985,20.890540999999985,0.0,0.0002779174783937502,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686824967013577126,2,0,23,24.427270500000375,22.913040999998913,25.941500000001838,0.0,0.0005558349567875004,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1686824968000616071,1,0,23.491832999997797,23.491832999997797,23.491832999997797,23.491832999997797,0.0,0.0002779174783937502,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1686824970061586261,1,0,23.41037499999743,23.41037499999743,23.41037499999743,23.41037499999743,0.0,0.0002779174783937502,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/users/1686824970061586261,2,0,26,28.94214600000211,25.82262500000354,32.06166700000068,0.0,0.0005558349567875004,0.0,32,32,32,32,32,32,32,32,32,32,32
DELETE,/users/1686824971025769019,2,0,19.050958999997647,20.45660450000142,19.050958999997647,21.86225000000519,0.0,0.0005558349567875004,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686824972097793441,1,0,21.2997079999937,21.2997079999937,21.2997079999937,21.2997079999937,0.0,0.0002779174783937502,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686824973055162709,1,0,22.889207999995165,22.889207999995165,22.889207999995165,22.889207999995165,0.0,0.0002779174783937502,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/users/1686824973055162709,6,0,23,26.351236,21.463791999998705,38.266874999997924,0.0,0.0016675048703625012,0.0,23,23,29,29,38,38,38,38,38,38,38
DELETE,/users/1686824973077170624,1,0,21.806791999999575,21.806791999999575,21.806791999999575,21.806791999999575,0.0,0.0002779174783937502,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686824974026913550,1,0,19.714166999996507,19.714166999996507,19.714166999996507,19.714166999996507,0.0,0.0002779174783937502,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1686824974026913550,2,0,20,22.929771000004706,19.51587500000329,26.34366700000612,0.0,0.0005558349567875004,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1686824974146102224,1,0,21.888083999996866,21.888083999996866,21.888083999996866,21.888083999996866,0.0,0.0002779174783937502,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1686824974146102224,1,0,37.504249999997796,37.504249999997796,37.504249999997796,37.504249999997796,0.0,0.0002779174783937502,0.0,38,38,38,38,38,38,38,38,38,38,38
DELETE,/users/1686824975034455408,1,0,22.47116699999907,22.47116699999907,22.47116699999907,22.47116699999907,0.0,0.0002779174783937502,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686824975086420704,1,0,21.872375000000943,21.872375000000943,21.872375000000943,21.872375000000943,0.0,0.0002779174783937502,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686824977043076162,2,0,23,27.307978999999705,22.542624999999816,32.07333299999959,0.0,0.0005558349567875004,0.0,32,32,32,32,32,32,32,32,32,32,32
PUT,/users/1686824977043076162,5,0,24,22.92498319999936,19.603249999995853,25.265957999998534,0.0,0.0013895873919687511,0.0,24,25,25,25,25,25,25,25,25,25,25
DELETE,/users/1686824978038083244,1,0,22.90624999999835,22.90624999999835,22.90624999999835,22.90624999999835,0.0,0.0002779174783937502,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/users/1686824978038083244,2,0,23,31.116771000000654,22.527166999999793,39.706375000001515,0.0,0.0005558349567875004,0.0,40,40,40,40,40,40,40,40,40,40,40
DELETE,/users/1686824979127264056,1,0,20.463915999997084,20.463915999997084,20.463915999997084,20.463915999997084,0.0,0.0002779174783937502,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1686824979127264056,4,0,24,25.980218500000873,22.085832999998445,33.9484160000012,0.0,0.0011116699135750008,0.0,24,24,34,34,34,34,34,34,34,34,34
DELETE,/users/1686824980056410611,1,0,21.10554200000081,21.10554200000081,21.10554200000081,21.10554200000081,0.0,0.0002779174783937502,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686824981089077975,1,0,23.06191699999971,23.06191699999971,23.06191699999971,23.06191699999971,0.0,0.0002779174783937502,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1686824981094535446,1,0,18.796584000000394,18.796584000000394,18.796584000000394,18.796584000000394,0.0,0.0002779174783937502,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,/users/1686824983090452671,1,0,24.759875000000875,24.759875000000875,24.759875000000875,24.759875000000875,0.0,0.0002779174783937502,0.0,25,25,25,25,25,25,25,25,25,25,25
PUT,/users/1686824983090452671,1,0,25.064415999999312,25.064415999999312,25.064415999999312,25.064415999999312,0.0,0.0002779174783937502,0.0,25,25,25,25,25,25,25,25,25,25,25
DELETE,/users/1686824985099817990,1,0,29.012375000000645,29.012375000000645,29.012375000000645,29.012375000000645,0.0,0.0002779174783937502,0.0,29,29,29,29,29,29,29,29,29,29,29
DELETE,/users/1686824985106644800,2,0,20.348999999995954,20.908229499998043,20.348999999995954,21.467459000000133,0.0,0.0005558349567875004,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1686824985106644800,2,0,21,21.59662499999726,20.848749999998972,22.34449999999555,0.0,0.0005558349567875004,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686824987144025365,1,0,21.14054199999771,21.14054199999771,21.14054199999771,21.14054199999771,0.0,0.0002779174783937502,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1686824987144025365,4,0,24,24.751458249998137,21.14008299999881,29.32712499999468,0.0,0.0011116699135750008,0.0,24,24,29,29,29,29,29,29,29,29,29
DELETE,/users/1686824987144124664,1,0,34.32508400000245,34.32508400000245,34.32508400000245,34.32508400000245,0.0,0.0002779174783937502,0.0,34,34,34,34,34,34,34,34,34,34,34
DELETE,/users/1686824988118706161,1,0,24.309750000000463,24.309750000000463,24.309750000000463,24.309750000000463,0.0,0.0002779174783937502,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1686824988148983552,1,0,21.021750000002726,21.021750000002726,21.021750000002726,21.021750000002726,0.0,0.0002779174783937502,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686824989130851148,1,0,20.180250000002786,20.180250000002786,20.180250000002786,20.180250000002786,0.0,0.0002779174783937502,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1686824989130851148,2,0,21.35154199999789,29.521166999998627,21.35154199999789,37.69079199999936,0.0,0.0005558349567875004,0.0,38,38,38,38,38,38,38,38,38,38,38
DELETE,/users/1686824990151671006,1,0,30.57445900000033,30.57445900000033,30.57445900000033,30.57445900000033,0.0,0.0002779174783937502,0.0,31,31,31,31,31,31,31,31,31,31,31
DELETE,/users/1686824991137630046,1,0,35.36445900000018,35.36445900000018,35.36445900000018,35.36445900000018,0.0,0.0002779174783937502,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/users/1686824991137630046,1,0,21.959207999998398,21.959207999998398,21.959207999998398,21.959207999998398,0.0,0.0002779174783937502,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686824991140453378,3,0,24,24.194750000001857,21.775667,26.73762500000265,0.0,0.0008337524351812506,0.0,24,24,27,27,27,27,27,27,27,27,27
PUT,/users/1686824991140453378,4,0,24,24.117749499998453,23.559666000004142,24.98583299999524,0.0,0.0011116699135750008,0.0,24,24,25,25,25,25,25,25,25,25,25
DELETE,/users/1686824993165313335,1,0,34.486666000006494,34.486666000006494,34.486666000006494,34.486666000006494,0.0,0.0002779174783937502,0.0,34,34,34,34,34,34,34,34,34,34,34
PUT,/users/1686824993165313335,1,0,23.674999999997226,23.674999999997226,23.674999999997226,23.674999999997226,0.0,0.0002779174783937502,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1686824993168964603,1,0,18.02087500000482,18.02087500000482,18.02087500000482,18.02087500000482,0.0,0.0002779174783937502,0.0,18,18,18,18,18,18,18,18,18,18,18
DELETE,/users/1686824993207369136,1,0,22.38345800000019,22.38345800000019,22.38345800000019,22.38345800000019,0.0,0.0002779174783937502,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686824994193167610,1,0,41.938207999990595,41.938207999990595,41.938207999990595,41.938207999990595,0.0,0.0002779174783937502,0.0,42,42,42,42,42,42,42,42,42,42,42
PUT,/users/1686824994193167610,1,0,21.339874999995345,21.339874999995345,21.339874999995345,21.339874999995345,0.0,0.0002779174783937502,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686824995193997387,1,0,21.057124999998678,21.057124999998678,21.057124999998678,21.057124999998678,0.0,0.0002779174783937502,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1686824995193997387,1,0,36.58250000000152,36.58250000000152,36.58250000000152,36.58250000000152,0.0,0.0002779174783937502,0.0,37,37,37,37,37,37,37,37,37,37,37
DELETE,/users/1686824996170128768,1,0,36.100749999995685,36.100749999995685,36.100749999995685,36.100749999995685,0.0,0.0002779174783937502,0.0,36,36,36,36,36,36,36,36,36,36,36
DELETE,/users/1686824996170560554,1,0,36.58995800000753,36.58995800000753,36.58995800000753,36.58995800000753,0.0,0.0002779174783937502,0.0,37,37,37,37,37,37,37,37,37,37,37
PUT,/users/1686824996170560554,6,0,36,41.05247883333618,21.272291000002497,85.32095799999695,0.0,0.0016675048703625012,0.0,38,38,42,42,85,85,85,85,85,85,85
DELETE,/users/1686824996176887527,2,0,25.271165999996015,32.94716649999785,25.271165999996015,40.62316699999968,0.0,0.0005558349567875004,0.0,41,41,41,41,41,41,41,41,41,41,41
PUT,/users/1686824996176887527,4,0,31,30.502135000000763,23.160332999999866,34.39495800000003,0.0,0.0011116699135750008,0.0,33,33,34,34,34,34,34,34,34,34,34
