Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,56734,0,130.0,374.78578379298085,18.042901000171696,4845.756995000102,12336.463972221243,15.775733348866218,0.0,130,250,400,520,1100,1700,2700,2800,3500,4200,4800
POST,/users,8060,0,94,280.9758731792812,16.281692999996267,3475.7781510002133,0.0,2.2412029962960784,0.0,94,190,270,350,750,1400,2100,2600,3000,3500,3500
DELETE,/users/1687522569910277498,1,0,20.817553000000544,20.817553000000544,20.817553000000544,20.817553000000544,0.0,0.0002780648878779254,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1687522571915273464,1,0,22.42859100000061,22.42859100000061,22.42859100000061,22.42859100000061,0.0,0.0002780648878779254,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1687522571915273464,1,0,19.813370999997915,19.813370999997915,19.813370999997915,19.813370999997915,0.0,0.0002780648878779254,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/users/1687522572917374970,1,0,20.757671000000144,20.757671000000144,20.757671000000144,20.757671000000144,0.0,0.0002780648878779254,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1687522577937093328,1,0,21.040998000003697,21.040998000003697,21.040998000003697,21.040998000003697,0.0,0.0002780648878779254,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1687522577937093328,2,0,20,25.440007000000264,19.638346000000695,31.241667999999834,0.0,0.0005561297757558508,0.0,31,31,31,31,31,31,31,31,31,31,31
DELETE,/users/1687522584193219904,1,0,24.26949799999889,24.26949799999889,24.26949799999889,24.26949799999889,0.0,0.0002780648878779254,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1687522584193219904,1,0,23.29009800000037,23.29009800000037,23.29009800000037,23.29009800000037,0.0,0.0002780648878779254,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687522584969995174,1,0,23.81357200000167,23.81357200000167,23.81357200000167,23.81357200000167,0.0,0.0002780648878779254,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1687522586985561700,1,0,19.467663000000357,19.467663000000357,19.467663000000357,19.467663000000357,0.0,0.0002780648878779254,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,/users/1687522587967733622,1,0,27.92987900000199,27.92987900000199,27.92987900000199,27.92987900000199,0.0,0.0002780648878779254,0.0,28,28,28,28,28,28,28,28,28,28,28
DELETE,/users/1687522589996203317,1,0,45.20225699999969,45.20225699999969,45.20225699999969,45.20225699999969,0.0,0.0002780648878779254,0.0,45,45,45,45,45,45,45,45,45,45,45
PUT,/users/1687522589996203317,1,0,24.818118999998973,24.818118999998973,24.818118999998973,24.818118999998973,0.0,0.0002780648878779254,0.0,25,25,25,25,25,25,25,25,25,25,25
DELETE,/users/1687522592987364688,1,0,19.248247000000163,19.248247000000163,19.248247000000163,19.248247000000163,0.0,0.0002780648878779254,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,/users/1687522593036356790,1,0,35.62523099999737,35.62523099999737,35.62523099999737,35.62523099999737,0.0,0.0002780648878779254,0.0,36,36,36,36,36,36,36,36,36,36,36
PUT,/users/1687522593036356790,1,0,22.889419999998495,22.889419999998495,22.889419999998495,22.889419999998495,0.0,0.0002780648878779254,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687522594003959320,1,0,299.1642920000004,299.1642920000004,299.1642920000004,299.1642920000004,0.0,0.0002780648878779254,0.0,300,300,300,300,300,300,300,300,300,300,300
PUT,/users/1687522594003959320,4,0,31,41.76865825000142,27.397704999998496,77.33689200000526,0.0,0.0011122595515117015,0.0,31,31,77,77,77,77,77,77,77,77,77
DELETE,/users/1687522594997011339,1,0,23.93874800000617,23.93874800000617,23.93874800000617,23.93874800000617,0.0,0.0002780648878779254,0.0,24,24,24,24,24,24,24,24,24,24,24
