Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1687096530,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1687096531,1,,Aggregated,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,278.84648900362663,278.84648900362663,278.84648900362663,278.84648900362663,2.0
1687096532,2,,Aggregated,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,278.84648900362663,278.84648900362663,278.84648900362663,278.84648900362663,2.0
1687096533,2,,Aggregated,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,278.84648900362663,278.84648900362663,278.84648900362663,278.84648900362663,2.0
1687096534,3,,Aggregated,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,278.84648900362663,278.84648900362663,278.84648900362663,278.84648900362663,2.0
1687096535,3,,Aggregated,0.333333,0.000000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,2,0,280.0,747.9146245023003,278.84648900362663,1216.982760000974,2.0
1687096536,4,,Aggregated,0.250000,0.000000,500,1200,1200,4300,4300,4300,4300,4300,4300,4300,4300,5,0,500.0,1291.0418573999777,155.71559499949217,4299.29615900619,2.0
1687096537,4,,Aggregated,0.250000,0.000000,500,1200,1200,4300,4300,4300,4300,4300,4300,4300,4300,5,0,500.0,1291.0418573999777,155.71559499949217,4299.29615900619,2.0
1687096538,5,,Aggregated,0.500000,0.000000,500,500,1200,1200,4300,4300,4300,4300,4300,4300,4300,6,0,300.0,1126.2281128341176,155.71559499949217,4299.29615900619,1.6666666666666667
1687096539,5,,Aggregated,0.500000,0.000000,500,500,1200,1200,4300,4300,4300,4300,4300,4300,4300,6,0,300.0,1126.2281128341176,155.71559499949217,4299.29615900619,1.6666666666666667
1687096540,6,,Aggregated,0.625000,0.000000,300,500,1200,1200,4300,4300,4300,4300,4300,4300,4300,7,0,300.0,974.4876110011579,64.04460000339895,4299.29615900619,1.4285714285714286
1687096541,6,,Aggregated,0.666667,0.000000,280,300,500,1200,4300,4300,4300,4300,4300,4300,4300,9,0,280.0,773.2962643333142,62.9317010025261,4299.29615900619,72.88888888888889
1687096542,7,,Aggregated,0.600000,0.000000,300,500,500,500,1200,4300,4300,4300,4300,4300,4300,11,0,300.0,722.9502079095586,62.9317010025261,4299.29615900619,89.0
1687096543,7,,Aggregated,0.700000,0.000000,390,500,500,500,1200,4300,4300,4300,4300,4300,4300,12,0,300.0,695.2818157515139,62.9317010025261,4299.29615900619,121.91666666666667
1687096544,8,,Aggregated,0.900000,0.000000,370,500,500,1200,4100,4300,4300,4300,4300,4300,4300,15,0,370.0,863.5417748019487,62.9317010025261,4299.29615900619,140.6
1687096545,8,,Aggregated,1.000000,0.000000,300,500,500,500,4100,4300,4300,4300,4300,4300,4300,17,0,300.0,770.0666248839458,57.60120099876076,4299.29615900619,143.05882352941177
1687096546,9,,Aggregated,1.000000,0.000000,300,500,500,500,4100,4300,4300,4300,4300,4300,4300,17,0,300.0,770.0666248839458,57.60120099876076,4299.29615900619,143.05882352941177
1687096548,10,,Aggregated,1.400000,0.000000,300,500,500,850,1200,4100,4300,4300,4300,4300,4300,21,0,300.0,738.664592429857,57.60120099876076,4299.29615900619,146.66666666666666
1687096549,10,,Aggregated,1.200000,0.000000,300,500,850,1000,1200,4100,4300,4300,4300,4300,4300,23,0,300.0,721.1410545664282,54.14410000958014,4299.29615900619,148.0
1687096550,11,,Aggregated,1.200000,0.000000,300,500,850,1000,3500,4100,4300,4300,4300,4300,4300,27,0,300.0,767.9304371488763,54.14410000958014,4299.29615900619,150.0
1687096551,11,,Aggregated,1.600000,0.000000,300,500,850,1000,3500,4100,4300,4300,4300,4300,4300,28,0,290.0,745.7414858935018,54.14410000958014,4299.29615900619,156.17857142857142
1687096552,12,,Aggregated,2.100000,0.000000,290,390,500,850,1200,4100,4300,4300,4300,4300,4300,31,0,290.0,701.2777908713624,54.14410000958014,4299.29615900619,172.29032258064515
1687096553,12,,Aggregated,2.100000,0.000000,280,370,500,540,1200,4100,4300,4300,4300,4300,4300,36,0,280.0,632.2628953332444,39.20089999155607,4299.29615900619,184.19444444444446
1687096554,13,,Aggregated,1.800000,0.000000,220,310,500,500,1100,3500,4300,4300,4300,4300,4300,42,0,200.0,561.4121819529655,39.20089999155607,4299.29615900619,184.78571428571428
1687096555,13,,Aggregated,1.800000,0.000000,200,310,500,500,1100,3500,4300,4300,4300,4300,4300,44,0,190.0,540.0984441823147,39.20089999155607,4299.29615900619,198.38636363636363
1687096556,14,,Aggregated,2.400000,0.000000,200,310,500,500,1200,4100,5600,5600,5600,5600,5600,47,0,200.0,634.5062900431816,39.20089999155607,5647.933379004826,206.31914893617022
1687096557,14,,Aggregated,2.900000,0.000000,180,290,390,500,1100,4100,4300,5600,5600,5600,5600,51,0,180.0,591.742236079025,39.20089999155607,5647.933379004826,218.6078431372549
1687096558,15,,Aggregated,2.900000,0.000000,170,290,370,500,1100,4100,4300,5600,5600,5600,5600,54,0,160.0,566.3830435005366,39.20089999155607,5647.933379004826,224.38888888888889
1687096559,15,,Aggregated,3.000000,0.000000,180,300,390,500,1100,4100,4300,5600,5600,5600,5600,58,0,180.0,552.9999876382825,39.20089999155607,5647.933379004826,242.29310344827587
1687096560,16,,Aggregated,3.200000,0.000000,190,300,390,500,1000,3500,4300,5600,5600,5600,5600,64,0,180.0,526.6964502814062,39.20089999155607,5647.933379004826,229.734375
1687096562,16,,Aggregated,3.300000,0.000000,190,310,470,500,1100,3500,4300,5600,5600,5600,5600,67,0,190.0,544.081642940326,39.20089999155607,5647.933379004826,219.50746268656715
1687096563,17,,Aggregated,3.100000,0.000000,180,300,400,500,1000,3500,4300,5600,5600,5600,5600,71,0,180.0,522.282412549289,39.20089999155607,5647.933379004826,207.25352112676057
1687096564,18,,Aggregated,3.600000,0.000000,180,310,400,500,1000,3500,4300,5600,5600,5600,5600,73,0,180.0,517.932994616312,39.20089999155607,5647.933379004826,201.63013698630138
1687096565,18,,Aggregated,3.600000,0.000000,180,310,400,500,1000,3500,4300,5600,5600,5600,5600,73,0,180.0,517.932994616312,39.20089999155607,5647.933379004826,201.63013698630138
1687096566,19,,Aggregated,3.700000,0.000000,190,330,480,500,1100,3300,4300,5600,5600,5600,5600,82,0,190.0,547.6084661096115,39.20089999155607,5647.933379004826,179.71951219512195
1687096567,19,,Aggregated,2.900000,0.000000,190,350,480,540,1100,3300,4300,5600,5600,5600,5600,85,0,190.0,547.0449660820818,39.20089999155607,5647.933379004826,173.4470588235294
1687096568,20,,Aggregated,3.500000,0.000000,220,350,480,540,1200,3300,4300,5600,5600,5600,5600,90,0,220.0,548.121409010653,39.20089999155607,5647.933379004826,163.92222222222222
1687096569,20,,Aggregated,3.600000,0.000000,260,360,500,540,1100,3300,4300,5600,5600,5600,5600,92,0,220.0,548.5163837930368,39.20089999155607,5647.933379004826,160.40217391304347
1687096570,20,,Aggregated,3.300000,0.000000,260,360,500,570,1200,3300,4300,5600,5600,5600,5600,93,0,260.0,562.7980505802258,39.20089999155607,5647.933379004826,158.69892473118279
1687096571,20,,Aggregated,3.600000,0.000000,220,330,480,530,1100,1900,4100,4300,5600,5600,5600,103,0,220.0,524.7533708636748,39.20089999155607,5647.933379004826,148.10679611650485
1687096572,20,,Aggregated,3.400000,0.000000,220,330,480,530,1100,1900,4100,4300,5600,5600,5600,105,0,220.0,516.8677162663136,39.20089999155607,5647.933379004826,145.32380952380953
1687096573,20,,Aggregated,3.600000,0.000000,220,330,480,540,1100,1900,4100,4300,5600,5600,5600,110,0,210.0,509.61356620867844,39.20089999155607,5647.933379004826,138.8090909090909
1687096574,20,,Aggregated,3.700000,0.000000,220,330,480,540,1000,1900,4100,4300,5600,5600,5600,113,0,220.0,508.66103844214393,39.20089999155607,5647.933379004826,135.1769911504425
1687096575,20,,Aggregated,3.400000,0.000000,190,320,470,500,1000,1700,4100,4300,5600,5600,5600,123,0,190.0,474.7108827881956,39.20089999155607,5647.933379004826,128.20325203252034
1687096576,20,,Aggregated,3.800000,0.000000,190,310,460,500,1000,1700,4100,4300,5600,5600,5600,127,0,190.0,466.9326033303881,39.20089999155607,5647.933379004826,125.44094488188976
1687096578,20,,Aggregated,4.000000,0.000000,190,310,460,500,1000,1700,4100,4300,5600,5600,5600,128,0,190.0,464.31411584342186,39.20089999155607,5647.933379004826,128.2421875
1687096579,20,,Aggregated,4.400000,0.000000,170,290,400,480,980,1700,4100,4300,5600,5600,5600,136,0,170.0,440.8550650878169,39.20089999155607,5647.933379004826,134.9485294117647
1687096580,20,,Aggregated,4.400000,0.000000,180,300,400,500,1000,1900,4100,4300,5600,5600,5600,138,0,170.0,452.55758674603135,39.20089999155607,5647.933379004826,134.16666666666666
1687096581,20,,Aggregated,4.200000,0.000000,180,300,460,500,1000,1900,4100,4300,5600,5600,5600,139,0,180.0,457.2306235536318,39.20089999155607,5647.933379004826,134.36690647482015
1687096582,20,,Aggregated,4.600000,0.000000,190,350,500,630,1500,1900,3500,4300,5600,5600,5600,152,0,190.0,515.6811744339058,39.20089999155607,5647.933379004826,133.5328947368421
1687096583,20,,Aggregated,3.900000,0.000000,190,330,500,630,1500,1900,3500,4300,5600,5600,5600,155,0,190.0,506.9621886061918,39.20089999155607,5647.933379004826,130.98709677419356
1687096584,20,,Aggregated,3.500000,0.000000,190,350,500,660,1500,1900,3500,4300,5600,5600,5600,161,0,190.0,522.6836973538778,39.20089999155607,5647.933379004826,127.16149068322981
1687096585,20,,Aggregated,4.700000,0.000000,190,350,500,660,1500,1900,3500,4300,5600,5600,5600,162,0,190.0,521.8708914319085,39.20089999155607,5647.933379004826,126.38888888888889
1687096586,20,,Aggregated,4.700000,0.000000,190,350,500,660,1500,1900,3500,4300,5600,5600,5600,162,0,190.0,521.8708914319085,39.20089999155607,5647.933379004826,126.38888888888889
1687096587,20,,Aggregated,4.800000,0.000000,180,330,480,600,1500,1900,3500,4300,5600,5600,5600,171,0,180.0,501.62034579516967,39.20089999155607,5647.933379004826,119.84210526315789
1687096588,20,,Aggregated,3.900000,0.000000,180,330,500,600,1500,1900,3500,4300,5600,5600,5600,175,0,180.0,497.2613648911439,39.20089999155607,5647.933379004826,117.14857142857143
1687096589,20,,Aggregated,3.500000,0.000000,180,330,500,600,1500,1900,3500,4300,5600,5600,5600,176,0,180.0,498.540330846233,39.20089999155607,5647.933379004826,116.49431818181819
1687096590,20,,Aggregated,4.500000,0.000000,190,370,530,720,1500,1700,3500,4300,5600,5600,5600,182,0,190.0,528.1319547964133,39.20089999155607,5647.933379004826,112.71978021978022
