Method,Name,Error,Occurrences
GET,/users,"gaierror(-3, 'Temporary failure in name resolution')",1
GET,/users,RemoteDisconnected('Remote end closed connection without response'),4
POST,/users,RemoteDisconnected('Remote end closed connection without response'),1
