"Deployment","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"container",60,0.433,0.456,0.553,0.644,0.243,0.781,1.256
"serverless",60,0,0.008,0.053,0.141,0.192,0.241,0.719
