Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/users/1687382942154870596,1,0,930.664835999778,930.664835999778,930.664835999778,930.664835999778,0.0,0.0002781502684401091,0.0,930,930,930,930,930,930,930,930,930,930,930
DELETE,/users/1687382942161962785,1,0,1329.951040999731,1329.951040999731,1329.951040999731,1329.951040999731,0.0,0.0002781502684401091,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
PUT,/users/1687382942161962785,1,0,30.857279999963794,30.857279999963794,30.857279999963794,30.857279999963794,0.0,0.0002781502684401091,0.0,31,31,31,31,31,31,31,31,31,31,31
DELETE,/users/1687382942166124914,1,0,23.498709999785206,23.498709999785206,23.498709999785206,23.498709999785206,0.0,0.0002781502684401091,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/users/1687382942166124914,4,0,1700.0,1903.2669592498905,1267.0395419995657,2657.496987000286,0.0,0.0011126010737604363,0.0,2000,2000,2700,2700,2700,2700,2700,2700,2700,2700,2700
DELETE,/users/1687382942181255032,1,0,2741.579258999991,2741.579258999991,2741.579258999991,2741.579258999991,0.0,0.0002781502684401091,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
DELETE,/users/1687382942181273171,1,0,76.68386100021962,76.68386100021962,76.68386100021962,76.68386100021962,0.0,0.0002781502684401091,0.0,77,77,77,77,77,77,77,77,77,77,77
DELETE,/users/1687382942187500228,1,0,1619.4240630002241,1619.4240630002241,1619.4240630002241,1619.4240630002241,0.0,0.0002781502684401091,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
DELETE,/users/1687382942189212708,1,0,1974.4907780000176,1974.4907780000176,1974.4907780000176,1974.4907780000176,0.0,0.0002781502684401091,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
PUT,/users/1687382942189212708,3,0,1300.0,1305.0234409999273,966.8186489998334,1644.177783000032,0.0,0.0008344508053203272,0.0,1300,1300,1600,1600,1600,1600,1600,1600,1600,1600,1600
DELETE,/users/1687382942695046388,1,0,1412.6944059999005,1412.6944059999005,1412.6944059999005,1412.6944059999005,0.0,0.0002781502684401091,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
PUT,/users/1687382942695046388,2,0,1300.0,2309.709405999911,1281.6274339998017,3337.79137800002,0.0,0.0005563005368802181,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
DELETE,/users/1687382942695686968,1,0,1512.2431390000202,1512.2431390000202,1512.2431390000202,1512.2431390000202,0.0,0.0002781502684401091,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
DELETE,/users/1687382942900311046,1,0,115.13967700011563,115.13967700011563,115.13967700011563,115.13967700011563,0.0,0.0002781502684401091,0.0,120,120,120,120,120,120,120,120,120,120,120
PUT,/users/1687382942900311046,1,0,2447.6298300000963,2447.6298300000963,2447.6298300000963,2447.6298300000963,0.0,0.0002781502684401091,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
