"Tactic","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"with_t3",12,1.824,6.272,11.208,12.809,8.525,18.254,28.535
"without_t3",12,3.022,13.942,30.223,26.201,14.905,35.942,48.911
