Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,12921,0,34,37.56675634161419,20.210707999922306,414.11299999981566,4856.967649562727,3.5907848638174995,0.0,34,38,41,43,50,60,83,110,200,220,410
POST,/users,1271,0,29,33.183449449245735,17.77120799988552,212.74091599980238,0.0,0.3532147327538148,0.0,29,33,36,38,46,54,77,120,200,210,210
DELETE,/users/1686557981870160115,1,0,22.7996250000011,22.7996250000011,22.7996250000011,22.7996250000011,0.0,0.00027790301554194715,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/users/1686557981870160115,4,0,22,22.788999749999483,19.782832999998945,25.270624999999214,0.0,0.0011116120621677886,0.0,24,24,25,25,25,25,25,25,25,25,25
DELETE,/users/1686557988894175183,1,0,26.54116700000131,26.54116700000131,26.54116700000131,26.54116700000131,0.0,0.00027790301554194715,0.0,27,27,27,27,27,27,27,27,27,27,27
DELETE,/users/1686557990897351014,1,0,28.662665999998893,28.662665999998893,28.662665999998893,28.662665999998893,0.0,0.00027790301554194715,0.0,29,29,29,29,29,29,29,29,29,29,29
DELETE,/users/1686557991064826402,1,0,35.31399999999962,35.31399999999962,35.31399999999962,35.31399999999962,0.0,0.00027790301554194715,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/users/1686557991064826402,1,0,20.75083299999747,20.75083299999747,20.75083299999747,20.75083299999747,0.0,0.00027790301554194715,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686557995921697147,1,0,21.938583000000733,21.938583000000733,21.938583000000733,21.938583000000733,0.0,0.00027790301554194715,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686557999966502723,1,0,36.666499999995494,36.666499999995494,36.666499999995494,36.666499999995494,0.0,0.00027790301554194715,0.0,37,37,37,37,37,37,37,37,37,37,37
PUT,/users/1686557999966502723,12,0,22,21.702670250002498,19.361416000002407,23.698875000008,0.0,0.003334836186503366,0.0,22,22,23,23,23,24,24,24,24,24,24
DELETE,/users/1686558007996333573,1,0,23.617167000004713,23.617167000004713,23.617167000004713,23.617167000004713,0.0,0.00027790301554194715,0.0,24,24,24,24,24,24,24,24,24,24,24
