Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,30588,0,47,79.66279160298184,19.341458999974748,4031.134999999722,10033.231594089186,8.498942532291707,0.0,47,72,99,110,160,220,330,390,1100,3700,4000
POST,/users,4427,0,34,61.3825396177975,16.64549999998144,3229.8831669995707,0.0,1.2300516081618735,0.0,34,50,70,90,130,180,250,350,640,3200,3200
DELETE,/users/1687376528690361726,1,0,49.15108299999993,49.15108299999993,49.15108299999993,49.15108299999993,0.0,0.00027785218164939543,0.0,49,49,49,49,49,49,49,49,49,49,49
PUT,/users/1687376528690361726,1,0,145.03395799999907,145.03395799999907,145.03395799999907,145.03395799999907,0.0,0.00027785218164939543,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/users/1687376531371046081,1,0,22.189041000000742,22.189041000000742,22.189041000000742,22.189041000000742,0.0,0.00027785218164939543,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1687376531371046081,3,0,20.81850000000074,20.637930666666787,20.32220799999962,20.81850000000074,0.0,0.0008335565449481862,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1687376532374980904,1,0,18.145459000002973,18.145459000002973,18.145459000002973,18.145459000002973,0.0,0.00027785218164939543,0.0,18,18,18,18,18,18,18,18,18,18,18
DELETE,/users/1687376534578668592,1,0,22.104375000001397,22.104375000001397,22.104375000001397,22.104375000001397,0.0,0.00027785218164939543,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1687376534578668592,2,0,21.139125000001258,21.585375000000795,21.139125000001258,22.031625000000332,0.0,0.0005557043632987909,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687376534666888973,1,0,38.575625,38.575625,38.575625,38.575625,0.0,0.00027785218164939543,0.0,39,39,39,39,39,39,39,39,39,39,39
PUT,/users/1687376534666888973,2,0,17.36612499999879,19.479812499998417,17.36612499999879,21.593499999998045,0.0,0.0005557043632987909,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1687376537590304788,1,0,54.66870899999776,54.66870899999776,54.66870899999776,54.66870899999776,0.0,0.00027785218164939543,0.0,55,55,55,55,55,55,55,55,55,55,55
DELETE,/users/1687376539495710248,1,0,64.28349999999838,64.28349999999838,64.28349999999838,64.28349999999838,0.0,0.00027785218164939543,0.0,64,64,64,64,64,64,64,64,64,64,64
DELETE,/users/1687376539690496517,1,0,20.321291999998436,20.321291999998436,20.321291999998436,20.321291999998436,0.0,0.00027785218164939543,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1687376539690496517,3,0,40,39.905568999999495,19.485124999999215,60.081915999997904,0.0,0.0008335565449481862,0.0,40,40,60,60,60,60,60,60,60,60,60
DELETE,/users/1687376541425720238,1,0,20.73999999999998,20.73999999999998,20.73999999999998,20.73999999999998,0.0,0.00027785218164939543,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1687376541425720238,3,0,31,29.093569333333846,18.942874999996917,37.05933300000197,0.0,0.0008335565449481862,0.0,31,31,37,37,37,37,37,37,37,37,37
DELETE,/users/1687376544738985186,1,0,19.50920800000233,19.50920800000233,19.50920800000233,19.50920800000233,0.0,0.00027785218164939543,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1687376544738985186,2,0,21.378209000001647,26.591250500000996,21.378209000001647,31.804292000000345,0.0,0.0005557043632987909,0.0,32,32,32,32,32,32,32,32,32,32,32
DELETE,/users/1687376545618321520,1,0,22.721832999998526,22.721832999998526,22.721832999998526,22.721832999998526,0.0,0.00027785218164939543,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1687376545787847582,1,0,24.44587499999784,24.44587499999784,24.44587499999784,24.44587499999784,0.0,0.00027785218164939543,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1687376545787847582,6,0,21,26.89581933333211,18.778292000000363,57.679540999998835,0.0,0.0016671130898963725,0.0,22,22,22,22,58,58,58,58,58,58,58
DELETE,/users/1687376546647928546,2,0,23,40.316332999999815,22.559708000002843,58.07295799999679,0.0,0.0005557043632987909,0.0,58,58,58,58,58,58,58,58,58,58,58
PUT,/users/1687376546647928546,3,0,180.0,196.97809733333335,46.75037500000201,360.89849999999757,0.0,0.0008335565449481862,0.0,180,180,360,360,360,360,360,360,360,360,360
