Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/staging/users,12269,0,68,95.31400132455755,33.8805339999908,1835.6361810000408,2801.9321053060557,3.4143121952603317,0.0,68,76,89,110,180,250,350,430,840,1100,1800
POST,/staging/users,1706,0,64,92.48413514712188,35.12623099999246,1745.7052039999894,160.0,0.47475887237053765,0.0,64,72,85,100,170,240,370,450,1200,1700,1700
DELETE,/staging/users/1686760807715507361,1,0,106.13695600000028,106.13695600000028,106.13695600000028,106.13695600000028,25.0,0.00027828773292528584,0.0,110,110,110,110,110,110,110,110,110,110,110
PUT,/staging/users/1686760807715507361,4,0,66,220.52863950000034,58.596262000001786,680.8002600000016,160.0,0.0011131509317011434,0.0,77,77,680,680,680,680,680,680,680,680,680
DELETE,/staging/users/1686760811227432371,1,0,777.1702969999997,777.1702969999997,777.1702969999997,777.1702969999997,25.0,0.00027828773292528584,0.0,780,780,780,780,780,780,780,780,780,780,780
DELETE,/staging/users/1686760814494977577,1,0,83.877953,83.877953,83.877953,83.877953,25.0,0.00027828773292528584,0.0,84,84,84,84,84,84,84,84,84,84,84
DELETE,/staging/users/1686760815419569634,1,0,67.05977100000027,67.05977100000027,67.05977100000027,67.05977100000027,25.0,0.00027828773292528584,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/staging/users/1686760823433916166,1,0,67.49190600000077,67.49190600000077,67.49190600000077,67.49190600000077,25.0,0.00027828773292528584,0.0,67,67,67,67,67,67,67,67,67,67,67
PUT,/staging/users/1686760823433916166,4,0,54,69.50557249999977,53.70615100000009,89.77456399999895,160.0,0.0011131509317011434,0.0,80,80,90,90,90,90,90,90,90,90,90
DELETE,/staging/users/1686760824685068304,1,0,69.80102600000038,69.80102600000038,69.80102600000038,69.80102600000038,25.0,0.00027828773292528584,0.0,70,70,70,70,70,70,70,70,70,70,70
PUT,/staging/users/1686760824685068304,2,0,58,66.63316700000088,57.583823000001644,75.68251100000012,160.0,0.0005565754658505717,0.0,76,76,76,76,76,76,76,76,76,76,76
DELETE,/staging/users/1686760825552511001,1,0,73.2309029999989,73.2309029999989,73.2309029999989,73.2309029999989,25.0,0.00027828773292528584,0.0,73,73,73,73,73,73,73,73,73,73,73
DELETE,/staging/users/1686760832662682008,1,0,85.09324799999973,85.09324799999973,85.09324799999973,85.09324799999973,25.0,0.00027828773292528584,0.0,85,85,85,85,85,85,85,85,85,85,85
PUT,/staging/users/1686760832662682008,2,0,48,61.79846499999897,47.58882099999795,76.00810899999999,160.0,0.0005565754658505717,0.0,76,76,76,76,76,76,76,76,76,76,76
DELETE,/staging/users/1686760835705644036,1,0,83.83109800000454,83.83109800000454,83.83109800000454,83.83109800000454,25.0,0.00027828773292528584,0.0,84,84,84,84,84,84,84,84,84,84,84
PUT,/staging/users/1686760835705644036,1,0,69.99401700000618,69.99401700000618,69.99401700000618,69.99401700000618,160.0,0.00027828773292528584,0.0,70,70,70,70,70,70,70,70,70,70,70
DELETE,/staging/users/1686760838553246451,1,0,53.194646000001455,53.194646000001455,53.194646000001455,53.194646000001455,25.0,0.00027828773292528584,0.0,53,53,53,53,53,53,53,53,53,53,53
DELETE,/staging/users/1686760840781893132,1,0,57.14014899999853,57.14014899999853,57.14014899999853,57.14014899999853,25.0,0.00027828773292528584,0.0,57,57,57,57,57,57,57,57,57,57,57
DELETE,/staging/users/1686760843637229681,1,0,43.91958899999793,43.91958899999793,43.91958899999793,43.91958899999793,25.0,0.00027828773292528584,0.0,44,44,44,44,44,44,44,44,44,44,44
PUT,/staging/users/1686760843637229681,1,0,57.1389330000045,57.1389330000045,57.1389330000045,57.1389330000045,160.0,0.00027828773292528584,0.0,57,57,57,57,57,57,57,57,57,57,57
DELETE,/staging/users/1686760845218132502,1,0,60.90282000000968,60.90282000000968,60.90282000000968,60.90282000000968,25.0,0.00027828773292528584,0.0,61,61,61,61,61,61,61,61,61,61,61
PUT,/staging/users/1686760845218132502,4,0,54,74.85570349999904,43.68148799999716,140.69285600000114,160.0,0.0011131509317011434,0.0,61,61,140,140,140,140,140,140,140,140,140
DELETE,/staging/users/1686760847857186525,1,0,55.329014999998094,55.329014999998094,55.329014999998094,55.329014999998094,25.0,0.00027828773292528584,0.0,55,55,55,55,55,55,55,55,55,55,55
PUT,/staging/users/1686760847857186525,3,0,58,181.2782340000017,39.731289000002334,445.68575000000266,160.0,0.0008348631987758575,0.0,58,58,450,450,450,450,450,450,450,450,450
DELETE,/staging/users/1686760850684645833,1,0,47.651118000004544,47.651118000004544,47.651118000004544,47.651118000004544,25.0,0.00027828773292528584,0.0,48,48,48,48,48,48,48,48,48,48,48
DELETE,/staging/users/1686760851671638143,1,0,52.87837599999534,52.87837599999534,52.87837599999534,52.87837599999534,25.0,0.00027828773292528584,0.0,53,53,53,53,53,53,53,53,53,53,53
PUT,/staging/users/1686760851671638143,2,0,35.39154599999961,47.47006750000082,35.39154599999961,59.54858900000204,160.0,0.0005565754658505717,0.0,60,60,60,60,60,60,60,60,60,60,60
DELETE,/staging/users/1686760852935257805,1,0,94.91565599999774,94.91565599999774,94.91565599999774,94.91565599999774,25.0,0.00027828773292528584,0.0,95,95,95,95,95,95,95,95,95,95,95
PUT,/staging/users/1686760852935257805,5,0,61,141.6768337999983,53.881834999998546,464.31724600000024,160.0,0.0013914386646264292,0.0,61,76,76,460,460,460,460,460,460,460,460
DELETE,/staging/users/1686760855418470977,1,0,60.61034500000062,60.61034500000062,60.61034500000062,60.61034500000062,25.0,0.00027828773292528584,0.0,61,61,61,61,61,61,61,61,61,61,61
DELETE,/staging/users/1686760855903050321,1,0,66.16787000000102,66.16787000000102,66.16787000000102,66.16787000000102,25.0,0.00027828773292528584,0.0,66,66,66,66,66,66,66,66,66,66,66
PUT,/staging/users/1686760855903050321,1,0,55.925406000000066,55.925406000000066,55.925406000000066,55.925406000000066,160.0,0.00027828773292528584,0.0,56,56,56,56,56,56,56,56,56,56,56
DELETE,/staging/users/1686760860824568693,1,0,66.2871789999997,66.2871789999997,66.2871789999997,66.2871789999997,25.0,0.00027828773292528584,0.0,66,66,66,66,66,66,66,66,66,66,66
DELETE,/staging/users/1686760861107393282,1,0,136.02916699998957,136.02916699998957,136.02916699998957,136.02916699998957,25.0,0.00027828773292528584,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/staging/users/1686760862862093549,1,0,71.68907600001262,71.68907600001262,71.68907600001262,71.68907600001262,25.0,0.00027828773292528584,0.0,72,72,72,72,72,72,72,72,72,72,72
PUT,/staging/users/1686760862862093549,3,0,68,76.36422533333587,54.509672999998315,106.22998600000244,160.0,0.0008348631987758575,0.0,68,68,110,110,110,110,110,110,110,110,110
DELETE,/staging/users/1686760863491286942,1,0,38.619302000000744,38.619302000000744,38.619302000000744,38.619302000000744,25.0,0.00027828773292528584,0.0,39,39,39,39,39,39,39,39,39,39,39
DELETE,/staging/users/1686760864049350436,1,0,61.70869599999662,61.70869599999662,61.70869599999662,61.70869599999662,25.0,0.00027828773292528584,0.0,62,62,62,62,62,62,62,62,62,62,62
DELETE,/staging/users/1686760866257588963,1,0,80.89635899999337,80.89635899999337,80.89635899999337,80.89635899999337,25.0,0.00027828773292528584,0.0,81,81,81,81,81,81,81,81,81,81,81
DELETE,/staging/users/1686760869100308317,1,0,44.25406900000439,44.25406900000439,44.25406900000439,44.25406900000439,25.0,0.00027828773292528584,0.0,44,44,44,44,44,44,44,44,44,44,44
DELETE,/staging/users/1686760869655666678,1,0,85.46636799999874,85.46636799999874,85.46636799999874,85.46636799999874,25.0,0.00027828773292528584,0.0,85,85,85,85,85,85,85,85,85,85,85
PUT,/staging/users/1686760869655666678,2,0,61,66.19789499999484,60.524810999993406,71.87097899999628,160.0,0.0005565754658505717,0.0,72,72,72,72,72,72,72,72,72,72,72
DELETE,/staging/users/1686760870613624205,1,0,214.00713299999552,214.00713299999552,214.00713299999552,214.00713299999552,25.0,0.00027828773292528584,0.0,210,210,210,210,210,210,210,210,210,210,210
