Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/staging/users,12030,0,120.0,160.06416494164782,36.05966499992519,1758.5370789997796,11026.850374064838,3.3441850951149306,0.0,120,160,190,220,310,400,550,720,1200,1500,1800
POST,/staging/users,1775,0,71,113.59278692169221,33.979596999984096,1055.3534139999954,160.0,0.49342714412543653,0.0,71,97,130,150,240,300,420,520,990,1100,1100
DELETE,/staging/users/1686755711155861739,2,0,774.8029770000003,779.2998089999994,774.8029770000003,783.7966409999985,25.0,0.0005559742469019003,0.0,780,780,780,780,780,780,780,780,780,780,780
PUT,/staging/users/1686755711155861739,2,0,520.5341880000027,596.080778500002,520.5341880000027,671.6273690000012,160.0,0.0005559742469019003,0.0,670,670,670,670,670,670,670,670,670,670,670
DELETE,/staging/users/1686755719102031467,1,0,95.82033499999909,95.82033499999909,95.82033499999909,95.82033499999909,25.0,0.00027798712345095014,0.0,96,96,96,96,96,96,96,96,96,96,96
DELETE,/staging/users/1686755730001066548,1,0,118.01852699999671,118.01852699999671,118.01852699999671,118.01852699999671,25.0,0.00027798712345095014,0.0,120,120,120,120,120,120,120,120,120,120,120
DELETE,/staging/users/1686755737135718962,1,0,57.45139500000107,57.45139500000107,57.45139500000107,57.45139500000107,25.0,0.00027798712345095014,0.0,57,57,57,57,57,57,57,57,57,57,57
DELETE,/staging/users/1686755740519203623,1,0,65.3765619999973,65.3765619999973,65.3765619999973,65.3765619999973,25.0,0.00027798712345095014,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/staging/users/1686755740916016700,1,0,50.666947000003404,50.666947000003404,50.666947000003404,50.666947000003404,25.0,0.00027798712345095014,0.0,51,51,51,51,51,51,51,51,51,51,51
DELETE,/staging/users/1686755741683376041,1,0,39.771522999998865,39.771522999998865,39.771522999998865,39.771522999998865,25.0,0.00027798712345095014,0.0,40,40,40,40,40,40,40,40,40,40,40
DELETE,/staging/users/1686755742451432226,1,0,62.16238999999746,62.16238999999746,62.16238999999746,62.16238999999746,25.0,0.00027798712345095014,0.0,62,62,62,62,62,62,62,62,62,62,62
PUT,/staging/users/1686755742451432226,2,0,56,119.5466715000002,55.976445999995406,183.116897000005,160.0,0.0005559742469019003,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/staging/users/1686755742523277106,1,0,66.22511299999445,66.22511299999445,66.22511299999445,66.22511299999445,25.0,0.00027798712345095014,0.0,66,66,66,66,66,66,66,66,66,66,66
DELETE,/staging/users/1686755745489778508,1,0,56.939356000000885,56.939356000000885,56.939356000000885,56.939356000000885,25.0,0.00027798712345095014,0.0,57,57,57,57,57,57,57,57,57,57,57
DELETE,/staging/users/1686755745569501801,1,0,51.76236100000153,51.76236100000153,51.76236100000153,51.76236100000153,25.0,0.00027798712345095014,0.0,52,52,52,52,52,52,52,52,52,52,52
DELETE,/staging/users/1686755748995828605,1,0,40.133020999995495,40.133020999995495,40.133020999995495,40.133020999995495,25.0,0.00027798712345095014,0.0,40,40,40,40,40,40,40,40,40,40,40
PUT,/staging/users/1686755748995828605,2,0,48,53.15119150000314,47.52404700000312,58.77833600000315,160.0,0.0005559742469019003,0.0,59,59,59,59,59,59,59,59,59,59,59
DELETE,/staging/users/1686755749071328617,1,0,42.434642000003464,42.434642000003464,42.434642000003464,42.434642000003464,25.0,0.00027798712345095014,0.0,42,42,42,42,42,42,42,42,42,42,42
PUT,/staging/users/1686755749071328617,3,0,49,49.39166000000247,40.47605200000248,58.787780000002954,160.0,0.0008339613703528505,0.0,49,49,59,59,59,59,59,59,59,59,59
DELETE,/staging/users/1686755751145309689,1,0,116.29239400000557,116.29239400000557,116.29239400000557,116.29239400000557,25.0,0.00027798712345095014,0.0,120,120,120,120,120,120,120,120,120,120,120
PUT,/staging/users/1686755751145309689,1,0,57.199601000000655,57.199601000000655,57.199601000000655,57.199601000000655,160.0,0.00027798712345095014,0.0,57,57,57,57,57,57,57,57,57,57,57
DELETE,/staging/users/1686755751819854414,1,0,63.40370499999892,63.40370499999892,63.40370499999892,63.40370499999892,25.0,0.00027798712345095014,0.0,63,63,63,63,63,63,63,63,63,63,63
PUT,/staging/users/1686755751819854414,1,0,59.26347500000162,59.26347500000162,59.26347500000162,59.26347500000162,160.0,0.00027798712345095014,0.0,59,59,59,59,59,59,59,59,59,59,59
DELETE,/staging/users/1686755757290677298,1,0,57.957003000005614,57.957003000005614,57.957003000005614,57.957003000005614,25.0,0.00027798712345095014,0.0,58,58,58,58,58,58,58,58,58,58,58
DELETE,/staging/users/1686755758576029877,1,0,62.42163300000669,62.42163300000669,62.42163300000669,62.42163300000669,25.0,0.00027798712345095014,0.0,62,62,62,62,62,62,62,62,62,62,62
PUT,/staging/users/1686755758576029877,1,0,44.23259800000068,44.23259800000068,44.23259800000068,44.23259800000068,160.0,0.00027798712345095014,0.0,44,44,44,44,44,44,44,44,44,44,44
DELETE,/staging/users/1686755762369176442,1,0,68.79172799999367,68.79172799999367,68.79172799999367,68.79172799999367,25.0,0.00027798712345095014,0.0,69,69,69,69,69,69,69,69,69,69,69
PUT,/staging/users/1686755762369176442,1,0,76.50435299999714,76.50435299999714,76.50435299999714,76.50435299999714,160.0,0.00027798712345095014,0.0,77,77,77,77,77,77,77,77,77,77,77
DELETE,/staging/users/1686755767535592915,1,0,72.47056599999269,72.47056599999269,72.47056599999269,72.47056599999269,25.0,0.00027798712345095014,0.0,72,72,72,72,72,72,72,72,72,72,72
DELETE,/staging/users/1686755767679382403,1,0,399.70107199999916,399.70107199999916,399.70107199999916,399.70107199999916,25.0,0.00027798712345095014,0.0,400,400,400,400,400,400,400,400,400,400,400
PUT,/staging/users/1686755767679382403,1,0,62.50501600000291,62.50501600000291,62.50501600000291,62.50501600000291,160.0,0.00027798712345095014,0.0,63,63,63,63,63,63,63,63,63,63,63
DELETE,/staging/users/1686755767878611569,1,0,59.720495000007645,59.720495000007645,59.720495000007645,59.720495000007645,25.0,0.00027798712345095014,0.0,60,60,60,60,60,60,60,60,60,60,60
PUT,/staging/users/1686755767878611569,7,0,110.0,136.74081700000127,54.18298799999377,403.18333100000814,160.0,0.0019459098641566512,0.0,110,110,140,140,400,400,400,400,400,400,400
DELETE,/staging/users/1686755768735375153,1,0,49.851001999996924,49.851001999996924,49.851001999996924,49.851001999996924,25.0,0.00027798712345095014,0.0,50,50,50,50,50,50,50,50,50,50,50
DELETE,/staging/users/1686755769919436630,1,0,67.33154300000876,67.33154300000876,67.33154300000876,67.33154300000876,25.0,0.00027798712345095014,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/staging/users/1686755771141414767,1,0,55.80609399999048,55.80609399999048,55.80609399999048,55.80609399999048,25.0,0.00027798712345095014,0.0,56,56,56,56,56,56,56,56,56,56,56
PUT,/staging/users/1686755771141414767,1,0,58.24912000001348,58.24912000001348,58.24912000001348,58.24912000001348,160.0,0.00027798712345095014,0.0,58,58,58,58,58,58,58,58,58,58,58
DELETE,/staging/users/1686755771786961069,1,0,144.27992999999617,144.27992999999617,144.27992999999617,144.27992999999617,25.0,0.00027798712345095014,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/staging/users/1686755771786961069,3,0,330.0,560.3964143333352,249.747634000002,1104.0112830000055,160.0,0.0008339613703528505,0.0,330,330,1100,1100,1100,1100,1100,1100,1100,1100,1100
DELETE,/staging/users/1686755774194513749,1,0,410.9375750000055,410.9375750000055,410.9375750000055,410.9375750000055,25.0,0.00027798712345095014,0.0,410,410,410,410,410,410,410,410,410,410,410
