Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1686802193,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1686802194,1,,Aggregated,0.000000,0.000000,110,110,110,110,110,110,110,110,110,110,110,1,0,114.670834,114.670834,114.670834,114.670834,2.0
1686802195,2,,Aggregated,0.000000,0.000000,110,110,110,110,110,110,110,110,110,110,110,2,0,54.319417000000094,84.49512550000004,54.319417000000094,114.670834,2.0
1686802196,3,,Aggregated,0.000000,0.000000,54,54,110,110,110,110,110,110,110,110,110,3,0,54,72.40929200000005,48.237625000000065,114.670834,2.0
1686802197,4,,Aggregated,1.000000,0.000000,54,54,110,110,110,110,110,110,110,110,110,4,0,48,65.62461475000009,45.2705830000002,114.670834,1.5
1686802198,5,,Aggregated,1.000000,0.000000,48,48,54,54,110,110,110,110,110,110,110,6,0,47,55.222097333333465,21.534750000000713,114.670834,28.0
1686802199,6,,Aggregated,1.000000,0.000000,47,48,54,54,110,110,110,110,110,110,110,8,0,45,50.03798437500015,21.534750000000713,114.670834,61.5
1686802200,7,,Aggregated,1.000000,0.000000,47,47,48,54,110,110,110,110,110,110,110,10,0,45,47.563750000000105,21.534750000000713,114.670834,81.6
1686802201,8,,Aggregated,1.200000,0.000000,46,47,48,48,54,110,110,110,110,110,110,12,0,45,45.46709033333338,21.534750000000713,114.670834,95.0
1686802202,9,,Aggregated,1.333333,0.000000,46,47,48,54,60,110,110,110,110,110,110,14,0,45,45.07245842857144,21.534750000000713,114.670834,104.57142857142857
1686802203,10,,Aggregated,1.428571,0.000000,45,47,47,48,60,110,110,110,110,110,110,17,0,45,42.37789229411775,21.06962500000087,114.670834,105.17647058823529
1686802204,11,,Aggregated,1.500000,0.000000,44,46,47,48,60,110,110,110,110,110,110,20,0,44,40.198412650000066,18.678208999999057,114.670834,113.65
1686802205,12,,Aggregated,1.555556,0.000000,44,45,47,48,60,71,110,110,110,110,110,24,0,28,39.24171020833336,18.678208999999057,114.670834,135.04166666666666
1686802206,13,,Aggregated,1.700000,0.000000,28,45,47,47,60,71,110,110,110,110,110,27,0,28,38.11761122222229,18.678208999999057,114.670834,173.8148148148148
1686802207,14,,Aggregated,1.900000,0.000000,26,45,47,47,54,71,110,110,110,110,110,31,0,26,36.927864387096776,18.565209000000138,114.670834,167.0
1686802208,15,,Aggregated,2.200000,0.000000,26,45,46,47,54,71,110,110,110,110,110,35,0,26,35.8546537142857,18.565209000000138,114.670834,217.0
1686802209,16,,Aggregated,2.400000,0.000000,26,44,46,47,54,71,110,110,110,110,110,39,0,26,35.72488048717957,18.565209000000138,114.670834,248.48717948717947
1686802210,17,,Aggregated,2.700000,0.000000,26,42,45,47,49,60,110,110,110,110,110,45,0,26,34.5166899333333,18.565209000000138,114.670834,283.4222222222222
