Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1687602815,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1687602816,1,,Aggregated,0.000000,0.000000,290,290,290,290,290,290,290,290,290,290,290,1,0,286.850833,286.850833,286.850833,286.850833,2.0
1687602817,2,,Aggregated,0.000000,0.000000,290,290,290,290,290,290,290,290,290,290,290,1,0,286.850833,286.850833,286.850833,286.850833,2.0
1687602818,2,,Aggregated,0.000000,0.000000,290,290,290,290,290,290,290,290,290,290,290,2,0,38,162.35187449999995,37.85291599999985,286.850833,2.0
1687602819,3,,Aggregated,0.000000,0.000000,290,290,290,290,290,290,290,290,290,290,290,2,0,38,162.35187449999995,37.85291599999985,286.850833,2.0
1687602820,3,,Aggregated,0.500000,0.000000,84,84,290,290,290,290,290,290,290,290,290,3,0,84,136.27997200000013,37.85291599999985,286.850833,2.0
1687602821,4,,Aggregated,0.666667,0.000000,84,84,290,290,290,290,290,290,290,290,290,4,0,38,108.25911425000015,24.196541000000238,286.850833,2.0
1687602822,4,,Aggregated,0.500000,0.000000,53,84,84,290,290,290,290,290,290,290,290,5,0,53,97.27394140000023,24.196541000000238,286.850833,2.0
1687602823,5,,Aggregated,0.600000,0.000000,53,53,84,84,290,290,290,290,290,290,290,6,0,48,89.12950666666688,24.196541000000238,286.850833,2.0
1687602824,5,,Aggregated,0.666667,0.000000,53,69,84,84,290,290,290,290,290,290,290,7,0,53,86.29995214285756,24.196541000000238,286.850833,2.0
1687602825,6,,Aggregated,0.714286,0.000000,53,69,84,84,290,290,290,290,290,290,290,8,0,48,78.69930712500036,24.196541000000238,286.850833,2.0
1687602826,6,,Aggregated,0.750000,0.000000,48,53,69,84,290,290,290,290,290,290,290,10,0,46,71.49536240000029,24.196541000000238,286.850833,2.0
1687602827,7,,Aggregated,0.777778,0.000000,46,53,69,69,84,290,290,290,290,290,290,11,0,46,67.10518554545477,23.203416999999504,286.850833,2.0
1687602828,7,,Aggregated,0.800000,0.000000,40,48,53,69,84,290,290,290,290,290,290,13,0,40,61.69225315384624,23.203416999999504,286.850833,2.0
1687602829,8,,Aggregated,0.900000,0.000000,40,48,53,69,84,290,290,290,290,290,290,14,0,40,59.349752928571505,23.203416999999504,286.850833,2.0
1687602830,8,,Aggregated,1.000000,0.000000,46,53,84,84,220,290,290,290,290,290,290,16,0,40,72.49981506250012,23.203416999999504,286.850833,1.875
1687602831,9,,Aggregated,1.100000,0.000000,40,48,69,84,220,290,290,290,290,290,290,19,0,40,65.1858377368423,22.634834000001547,286.850833,18.63157894736842
1687602832,9,,Aggregated,1.200000,0.000000,40,48,69,84,120,220,290,290,290,290,290,21,0,40,66.88060123809547,22.634834000001547,286.850833,32.23809523809524
1687602833,10,,Aggregated,1.300000,0.000000,42,53,84,110,150,220,290,290,290,290,290,24,0,40,68.78768754166686,20.359124999998812,286.850833,55.125
1687602834,10,,Aggregated,1.500000,0.000000,46,79,110,120,190,220,290,290,290,290,290,26,0,42,75.55327726923109,20.359124999998812,286.850833,75.73076923076923
1687602835,11,,Aggregated,1.600000,0.000000,48,69,110,120,190,220,290,290,290,290,290,28,0,46,74.12098214285739,20.359124999998812,286.850833,87.60714285714286
1687602836,11,,Aggregated,1.800000,0.000000,42,61,84,110,150,220,290,290,290,290,290,32,0,40,68.74481509375023,20.359124999998812,286.850833,111.96875
1687602837,12,,Aggregated,2.000000,0.000000,40,50,79,84,150,220,290,290,290,290,290,36,0,40,64.67511461111131,20.359124999998812,286.850833,121.97222222222223
1687602838,12,,Aggregated,2.000000,0.000000,40,50,69,84,150,220,290,290,290,290,290,38,0,39,62.54206802631601,20.359124999998812,286.850833,119.8157894736842
1687602839,13,,Aggregated,2.400000,0.000000,40,51,69,84,150,220,410,410,410,410,410,41,0,40,70.08748882926842,20.359124999998812,411.8687909999999,126.8048780487805
1687602840,13,,Aggregated,2.400000,0.000000,42,51,79,110,170,220,410,410,410,410,410,44,0,40,71.42280302272738,20.359124999998812,411.8687909999999,140.1590909090909
1687602841,14,,Aggregated,2.500000,0.000000,40,50,79,110,170,220,410,410,410,410,410,48,0,40,69.37882987500016,20.359124999998812,411.8687909999999,148.66666666666666
1687602842,14,,Aggregated,2.500000,0.000000,40,50,79,96,150,220,290,410,410,410,410,51,0,40,68.13980721568642,20.359124999998812,411.8687909999999,158.92156862745097
1687602843,15,,Aggregated,2.900000,0.000000,40,50,77,84,150,220,290,410,410,410,410,56,0,39,65.73299553571431,20.359124999998812,411.8687909999999,167.80357142857142
1687602844,15,,Aggregated,3.000000,0.000000,40,50,69,84,150,220,290,410,410,410,410,59,0,40,64.6206476101695,20.359124999998812,411.8687909999999,167.4915254237288
1687602845,16,,Aggregated,3.000000,0.000000,40,50,69,84,120,190,290,410,410,410,410,63,0,40,64.00994180952392,20.359124999998812,411.8687909999999,162.0
1687602846,16,,Aggregated,3.100000,0.000000,40,50,77,96,120,190,290,410,410,410,410,69,0,40,64.23994747826094,20.306417000000465,411.8687909999999,161.9855072463768
1687602847,17,,Aggregated,3.200000,0.000000,42,51,80,110,120,190,290,410,410,410,410,72,0,40,64.92521065277792,20.306417000000465,411.8687909999999,157.51388888888889
1687602848,17,,Aggregated,3.700000,0.000000,42,53,79,110,120,190,290,410,410,410,410,77,0,42,64.40331927272749,20.306417000000465,411.8687909999999,157.80519480519482
1687602849,18,,Aggregated,3.700000,0.000000,42,53,80,110,120,190,290,410,410,410,410,80,0,40,64.01978073750017,20.306417000000465,411.8687909999999,157.9625
1687602850,18,,Aggregated,3.700000,0.000000,42,54,80,100,120,170,290,410,410,410,410,84,0,40,63.13332640476202,20.306417000000465,411.8687909999999,158.13095238095238
1687602851,19,,Aggregated,3.900000,0.000000,40,51,77,96,120,170,290,410,410,410,410,89,0,40,61.202451337078884,20.306417000000465,411.8687909999999,156.52808988764045
1687602852,19,,Aggregated,3.900000,0.000000,40,54,80,100,120,170,290,410,410,410,410,93,0,40,62.82053855914003,20.306417000000465,411.8687909999999,160.21505376344086
1687602853,20,,Aggregated,4.000000,0.000000,40,54,83,110,120,170,290,410,410,410,410,99,0,40,62.58618437373775,20.206958999999358,411.8687909999999,158.67676767676767
1687602854,20,,Aggregated,4.200000,0.000000,42,56,84,110,120,150,220,290,410,410,410,104,0,40,62.65243673076967,19.874875000006398,411.8687909999999,157.27884615384616
1687602855,20,,Aggregated,4.400000,0.000000,42,58,84,110,120,150,220,290,410,410,410,109,0,42,63.298426633027944,19.874875000006398,411.8687909999999,156.0091743119266
1687602856,20,,Aggregated,4.400000,0.000000,42,58,96,110,120,150,220,290,410,410,410,116,0,40,62.4695028965522,19.874875000006398,411.8687909999999,150.80172413793105
1687602857,20,,Aggregated,4.500000,0.000000,42,61,100,110,120,190,290,290,410,410,410,120,0,42,65.43760176666713,19.874875000006398,411.8687909999999,148.49166666666667
1687602858,20,,Aggregated,4.500000,0.000000,42,61,100,110,120,170,290,290,410,410,410,124,0,42,66.05486898387147,19.874875000006398,411.8687909999999,143.75
1687602859,20,,Aggregated,4.700000,0.000000,42,61,100,110,120,170,290,290,410,410,410,128,0,40,65.46646129687548,19.874875000006398,411.8687909999999,143.0546875
1687602860,20,,Aggregated,4.800000,0.000000,42,63,100,110,120,170,290,290,410,410,410,132,0,42,65.63002371212157,19.874875000006398,411.8687909999999,149.71969696969697
1687602861,20,,Aggregated,4.900000,0.000000,42,63,100,110,120,170,290,290,410,410,410,138,0,42,65.45531494927579,19.874875000006398,411.8687909999999,161.90579710144928
1687602862,20,,Aggregated,4.700000,0.000000,42,61,100,110,120,170,290,290,410,410,410,141,0,42,64.68562739716354,19.874875000006398,411.8687909999999,168.75177304964538
1687602863,20,,Aggregated,4.700000,0.000000,44,61,96,110,120,170,290,290,410,410,410,145,0,44,64.74916467586249,19.874875000006398,411.8687909999999,186.3310344827586
1687602864,20,,Aggregated,4.700000,0.000000,44,63,96,110,120,170,290,290,410,410,410,150,0,44,64.47203252666705,19.874875000006398,411.8687909999999,197.31333333333333
1687602865,20,,Aggregated,4.600000,0.000000,44,61,96,110,120,170,250,290,410,410,410,156,0,44,64.6450758782055,19.40204100000642,411.8687909999999,210.39102564102564
1687602866,20,,Aggregated,4.600000,0.000000,42,58,94,110,120,170,250,290,410,410,410,160,0,42,63.594232325000306,19.40204100000642,411.8687909999999,214.2
1687602867,20,,Aggregated,4.300000,0.000000,42,56,83,110,120,170,250,290,410,410,410,166,0,42,62.77582005421711,19.40204100000642,411.8687909999999,221.01807228915663
1687602868,20,,Aggregated,4.600000,0.000000,41,54,83,110,120,170,250,290,410,410,410,172,0,40,62.423055488372334,19.40204100000642,411.8687909999999,237.66860465116278
1687602869,20,,Aggregated,4.500000,0.000000,42,56,83,110,120,170,250,290,410,410,410,176,0,41,62.3056794659093,19.40204100000642,411.8687909999999,246.92045454545453
1687602870,20,,Aggregated,4.500000,0.000000,42,56,81,100,120,170,250,290,410,410,410,181,0,42,62.10427073480685,18.657791999999063,411.8687909999999,261.4696132596685
1687602871,20,,Aggregated,4.700000,0.000000,42,56,83,100,120,170,250,290,410,410,410,187,0,42,61.82883757754032,18.657791999999063,411.8687909999999,273.7647058823529
1687602872,20,,Aggregated,4.600000,0.000000,41,56,83,100,120,170,250,290,410,410,410,191,0,41,61.51493151308915,18.657791999999063,411.8687909999999,278.15706806282725
1687602873,20,,Aggregated,4.900000,0.000000,42,56,84,100,120,170,250,290,410,410,410,196,0,41,61.42823109183685,18.17333400000365,411.8687909999999,292.4387755102041
1687602874,20,,Aggregated,4.900000,0.000000,41,56,84,100,120,150,220,290,410,410,410,201,0,41,61.41646103482599,18.17333400000365,411.8687909999999,294.7860696517413
1687602875,20,,Aggregated,4.900000,0.000000,42,54,84,100,120,170,250,290,410,410,410,206,0,42,62.077734029126404,18.17333400000365,411.8687909999999,309.5339805825243
1687602876,20,,Aggregated,5.100000,0.000000,42,56,89,100,120,170,250,290,410,410,410,211,0,42,62.226708744076035,18.17333400000365,411.8687909999999,323.58293838862556
