Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/staging/users,12801,0,47,68.51522398203326,31.797773999983292,1275.0994599999785,1817.7216623701274,3.5584348726986854,0.0,47,52,57,64,110,210,300,370,520,1200,1300
POST,/staging/users,1286,0,44,65.72355256143221,31.439455000054295,1281.5360370000235,160.0,0.3574835752121326,0.0,44,49,53,59,100,210,290,400,950,1300,1300
DELETE,/staging/users/1686642404938149119,1,0,40.943681999998205,40.943681999998205,40.943681999998205,40.943681999998205,25.0,0.00027798100716340014,0.0,41,41,41,41,41,41,41,41,41,41,41
PUT,/staging/users/1686642404938149119,2,0,38.30882199999763,39.84142049999839,38.30882199999763,41.37401899999915,160.0,0.0005559620143268003,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/staging/users/1686642406289430029,1,0,868.2917090000011,868.2917090000011,868.2917090000011,868.2917090000011,25.0,0.00027798100716340014,0.0,870,870,870,870,870,870,870,870,870,870,870
PUT,/staging/users/1686642406289430029,2,0,50,336.0117274999999,49.94691099999926,622.0765440000005,160.0,0.0005559620143268003,0.0,620,620,620,620,620,620,620,620,620,620,620
DELETE,/staging/users/1686642420527166626,1,0,40.52582300000296,40.52582300000296,40.52582300000296,40.52582300000296,25.0,0.00027798100716340014,0.0,41,41,41,41,41,41,41,41,41,41,41
PUT,/staging/users/1686642420527166626,2,0,40.39627399999901,41.620656999999284,40.39627399999901,42.84503999999956,160.0,0.0005559620143268003,0.0,43,43,43,43,43,43,43,43,43,43,43
DELETE,/staging/users/1686642420547097628,1,0,56.40870100000228,56.40870100000228,56.40870100000228,56.40870100000228,25.0,0.00027798100716340014,0.0,56,56,56,56,56,56,56,56,56,56,56
DELETE,/staging/users/1686642421522263297,1,0,46.638270000002535,46.638270000002535,46.638270000002535,46.638270000002535,25.0,0.00027798100716340014,0.0,47,47,47,47,47,47,47,47,47,47,47
PUT,/staging/users/1686642421522263297,1,0,40.64598400000108,40.64598400000108,40.64598400000108,40.64598400000108,160.0,0.00027798100716340014,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/staging/users/1686642422669383782,1,0,49.27370600000813,49.27370600000813,49.27370600000813,49.27370600000813,25.0,0.00027798100716340014,0.0,49,49,49,49,49,49,49,49,49,49,49
PUT,/staging/users/1686642422669383782,2,0,36.27540799999451,46.72754799999623,36.27540799999451,57.17968799999795,160.0,0.0005559620143268003,0.0,57,57,57,57,57,57,57,57,57,57,57
DELETE,/staging/users/1686642424461558847,1,0,38.132528999994975,38.132528999994975,38.132528999994975,38.132528999994975,25.0,0.00027798100716340014,0.0,38,38,38,38,38,38,38,38,38,38,38
PUT,/staging/users/1686642424461558847,2,0,43,183.80717600000196,42.78248900000392,324.831863,160.0,0.0005559620143268003,0.0,320,320,320,320,320,320,320,320,320,320,320
DELETE,/staging/users/1686642427489759362,1,0,54.54941300000371,54.54941300000371,54.54941300000371,54.54941300000371,25.0,0.00027798100716340014,0.0,55,55,55,55,55,55,55,55,55,55,55
PUT,/staging/users/1686642427489759362,2,0,40,40.44629300000224,39.917254000002345,40.97533200000214,160.0,0.0005559620143268003,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/staging/users/1686642431637290244,1,0,49.93073600000031,49.93073600000031,49.93073600000031,49.93073600000031,25.0,0.00027798100716340014,0.0,50,50,50,50,50,50,50,50,50,50,50
PUT,/staging/users/1686642431637290244,1,0,35.903448999995646,35.903448999995646,35.903448999995646,35.903448999995646,160.0,0.00027798100716340014,0.0,36,36,36,36,36,36,36,36,36,36,36
DELETE,/staging/users/1686642431830479522,1,0,118.29436199999321,118.29436199999321,118.29436199999321,118.29436199999321,25.0,0.00027798100716340014,0.0,120,120,120,120,120,120,120,120,120,120,120
PUT,/staging/users/1686642431830479522,1,0,34.75591299999792,34.75591299999792,34.75591299999792,34.75591299999792,160.0,0.00027798100716340014,0.0,35,35,35,35,35,35,35,35,35,35,35
DELETE,/staging/users/1686642432511032054,1,0,93.87094899999937,93.87094899999937,93.87094899999937,93.87094899999937,25.0,0.00027798100716340014,0.0,94,94,94,94,94,94,94,94,94,94,94
DELETE,/staging/users/1686642432531762452,1,0,41.814921000003835,41.814921000003835,41.814921000003835,41.814921000003835,25.0,0.00027798100716340014,0.0,42,42,42,42,42,42,42,42,42,42,42
PUT,/staging/users/1686642432531762452,1,0,39.31063400000312,39.31063400000312,39.31063400000312,39.31063400000312,160.0,0.00027798100716340014,0.0,39,39,39,39,39,39,39,39,39,39,39
DELETE,/staging/users/1686642440591631230,1,0,280.8809680000053,280.8809680000053,280.8809680000053,280.8809680000053,25.0,0.00027798100716340014,0.0,280,280,280,280,280,280,280,280,280,280,280
PUT,/staging/users/1686642440591631230,1,0,37.48319500000008,37.48319500000008,37.48319500000008,37.48319500000008,160.0,0.00027798100716340014,0.0,37,37,37,37,37,37,37,37,37,37,37
DELETE,/staging/users/1686642440830318248,1,0,132.60503299999726,132.60503299999726,132.60503299999726,132.60503299999726,25.0,0.00027798100716340014,0.0,130,130,130,130,130,130,130,130,130,130,130
DELETE,/staging/users/1686642443600108578,1,0,41.94675799999459,41.94675799999459,41.94675799999459,41.94675799999459,25.0,0.00027798100716340014,0.0,42,42,42,42,42,42,42,42,42,42,42
DELETE,/staging/users/1686642443655986240,1,0,48.241306999997846,48.241306999997846,48.241306999997846,48.241306999997846,25.0,0.00027798100716340014,0.0,48,48,48,48,48,48,48,48,48,48,48
PUT,/staging/users/1686642443655986240,2,0,37,43.0961385000046,36.83833300000572,49.35394400000348,160.0,0.0005559620143268003,0.0,49,49,49,49,49,49,49,49,49,49,49
DELETE,/staging/users/1686642444745586177,1,0,46.899363000001415,46.899363000001415,46.899363000001415,46.899363000001415,25.0,0.00027798100716340014,0.0,47,47,47,47,47,47,47,47,47,47,47
DELETE,/staging/users/1686642445768799213,1,0,43.1624510000006,43.1624510000006,43.1624510000006,43.1624510000006,25.0,0.00027798100716340014,0.0,43,43,43,43,43,43,43,43,43,43,43
DELETE,/staging/users/1686642447662868901,1,0,47.44301799999562,47.44301799999562,47.44301799999562,47.44301799999562,25.0,0.00027798100716340014,0.0,47,47,47,47,47,47,47,47,47,47,47
DELETE,/staging/users/1686642449215954316,1,0,35.800451000000066,35.800451000000066,35.800451000000066,35.800451000000066,25.0,0.00027798100716340014,0.0,36,36,36,36,36,36,36,36,36,36,36
PUT,/staging/users/1686642449215954316,1,0,109.79120899999373,109.79120899999373,109.79120899999373,109.79120899999373,160.0,0.00027798100716340014,0.0,110,110,110,110,110,110,110,110,110,110,110
DELETE,/staging/users/1686642449737324776,1,0,47.48192700000686,47.48192700000686,47.48192700000686,47.48192700000686,25.0,0.00027798100716340014,0.0,47,47,47,47,47,47,47,47,47,47,47
PUT,/staging/users/1686642449737324776,3,0,42,60.417306333330124,40.9804170000001,98.671037999992,160.0,0.0008339430214902004,0.0,42,42,99,99,99,99,99,99,99,99,99
DELETE,/staging/users/1686642453796361947,1,0,32.59687100000974,32.59687100000974,32.59687100000974,32.59687100000974,25.0,0.00027798100716340014,0.0,33,33,33,33,33,33,33,33,33,33,33
