"Tactic","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"granular",60,0.208,0.219,0.312,0.416,0.252,0.48,1.123
"no_granular",60,0.433,0.456,0.553,0.644,0.243,0.781,1.256
