Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1686732480,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1686732481,1,,Aggregated,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,173.56208399999994,173.56208399999994,173.56208399999994,173.56208399999994,2.0
1686732482,2,,Aggregated,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,173.56208399999994,173.56208399999994,173.56208399999994,173.56208399999994,2.0
1686732483,2,,Aggregated,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,2,0,55.03349999999996,114.29779199999996,55.03349999999996,173.56208399999994,2.0
1686732484,3,,Aggregated,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,2,0,55.03349999999996,114.29779199999996,55.03349999999996,173.56208399999994,2.0
1686732485,3,,Aggregated,0.500000,0.000000,55,55,170,170,170,170,170,170,170,170,170,3,0,55,93.69701400000001,52.495458000000106,173.56208399999994,2.0
1686732486,4,,Aggregated,0.666667,0.000000,55,55,170,170,170,170,170,170,170,170,170,4,0,52,80.60940625000005,41.34658300000016,173.56208399999994,2.0
1686732487,4,,Aggregated,0.500000,0.000000,52,55,55,170,170,170,170,170,170,170,170,5,0,52,74.93315820000002,41.34658300000016,173.56208399999994,2.0
1686732488,5,,Aggregated,0.600000,0.000000,52,52,55,55,170,170,170,170,170,170,170,6,0,52,68.60875683333329,36.986749999999624,173.56208399999994,2.0
1686732489,5,,Aggregated,0.666667,0.000000,52,55,73,73,170,170,170,170,170,170,170,7,0,52,69.17668442857142,36.986749999999624,173.56208399999994,2.0
1686732490,6,,Aggregated,0.714286,0.000000,52,55,73,73,170,170,170,170,170,170,170,8,0,52,66.24397912499992,36.986749999999624,173.56208399999994,2.0
1686732491,6,,Aggregated,0.750000,0.000000,52,53,55,73,170,170,170,170,170,170,170,10,0,52,61.25354580000011,29.63658300000027,173.56208399999994,2.0
1686732492,7,,Aggregated,0.777778,0.000000,52,53,55,55,73,170,170,170,170,170,170,11,0,52,60.22015527272738,29.63658300000027,173.56208399999994,2.0
1686732493,7,,Aggregated,0.800000,0.000000,50,52,53,55,73,170,170,170,170,170,170,13,0,50,56.82696146153868,29.63658300000027,173.56208399999994,1.8461538461538463
1686732494,8,,Aggregated,0.900000,0.000000,50,52,53,55,73,170,170,170,170,170,170,14,0,46,54.824139785714486,28.787458000000044,173.56208399999994,13.285714285714286
1686732495,8,,Aggregated,1.000000,0.000000,46,52,53,53,73,170,170,170,170,170,170,16,0,44,52.31807543750018,27.65070899999955,173.56208399999994,21.75
1686732496,9,,Aggregated,1.100000,0.000000,42,50,52,53,73,170,170,170,170,170,170,20,0,41,47.778012500000116,25.832459000000085,173.56208399999994,49.7
1686732497,9,,Aggregated,1.200000,0.000000,42,48,52,52,55,73,170,170,170,170,170,22,0,41,46.80950377272732,25.832459000000085,173.56208399999994,52.54545454545455
1686732498,10,,Aggregated,1.300000,0.000000,37,46,50,52,55,73,170,170,170,170,170,25,0,37,44.29615664000001,21.691875000001914,173.56208399999994,72.08
