Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/staging/users,30068,0,120.0,156.84385019385982,54.552830999995194,2119.5817890002218,15453.331215910603,8.356946271017131,0.0,120,150,170,180,260,380,590,690,1200,2000,2100
POST,/staging/users,4316,0,90,120.97524462488435,52.5542929999574,1222.3536799999692,160.0,1.1995669850242763,0.0,90,95,110,130,210,330,520,600,1100,1200,1200
DELETE,/staging/users/1687067616466111586,1,0,85.71319600000038,85.71319600000038,85.71319600000038,85.71319600000038,25.0,0.0002779348899500177,0.0,86,86,86,86,86,86,86,86,86,86,86
PUT,/staging/users/1687067616466111586,3,0,98,340.79977700000023,89.35142200000001,835.0034130000008,160.0,0.000833804669850053,0.0,98,98,840,840,840,840,840,840,840,840,840
DELETE,/staging/users/1687067620254463527,1,0,662.5844470000004,662.5844470000004,662.5844470000004,662.5844470000004,25.0,0.0002779348899500177,0.0,660,660,660,660,660,660,660,660,660,660,660
PUT,/staging/users/1687067620254463527,1,0,504.2747779999992,504.2747779999992,504.2747779999992,504.2747779999992,160.0,0.0002779348899500177,0.0,500,500,500,500,500,500,500,500,500,500,500
DELETE,/staging/users/1687067621440443914,1,0,852.8136809999988,852.8136809999988,852.8136809999988,852.8136809999988,25.0,0.0002779348899500177,0.0,850,850,850,850,850,850,850,850,850,850,850
DELETE,/staging/users/1687067623627605838,1,0,64.62900400000038,64.62900400000038,64.62900400000038,64.62900400000038,25.0,0.0002779348899500177,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/staging/users/1687067625134176917,1,0,93.66179499999916,93.66179499999916,93.66179499999916,93.66179499999916,25.0,0.0002779348899500177,0.0,94,94,94,94,94,94,94,94,94,94,94
DELETE,/staging/users/1687067625938000776,1,0,85.84349300000227,85.84349300000227,85.84349300000227,85.84349300000227,25.0,0.0002779348899500177,0.0,86,86,86,86,86,86,86,86,86,86,86
DELETE,/staging/users/1687067629258253799,1,0,90.14294600000028,90.14294600000028,90.14294600000028,90.14294600000028,25.0,0.0002779348899500177,0.0,90,90,90,90,90,90,90,90,90,90,90
DELETE,/staging/users/1687067630453900302,1,0,60.07341100000119,60.07341100000119,60.07341100000119,60.07341100000119,25.0,0.0002779348899500177,0.0,60,60,60,60,60,60,60,60,60,60,60
PUT,/staging/users/1687067630453900302,1,0,89.28809400000048,89.28809400000048,89.28809400000048,89.28809400000048,160.0,0.0002779348899500177,0.0,89,89,89,89,89,89,89,89,89,89,89
DELETE,/staging/users/1687067632362618947,1,0,61.112294000000844,61.112294000000844,61.112294000000844,61.112294000000844,25.0,0.0002779348899500177,0.0,61,61,61,61,61,61,61,61,61,61,61
DELETE,/staging/users/1687067634588993320,1,0,85.88510499999913,85.88510499999913,85.88510499999913,85.88510499999913,25.0,0.0002779348899500177,0.0,86,86,86,86,86,86,86,86,86,86,86
PUT,/staging/users/1687067634588993320,1,0,88.76225300000229,88.76225300000229,88.76225300000229,88.76225300000229,160.0,0.0002779348899500177,0.0,89,89,89,89,89,89,89,89,89,89,89
DELETE,/staging/users/1687067639377485285,1,0,102.79133699999932,102.79133699999932,102.79133699999932,102.79133699999932,25.0,0.0002779348899500177,0.0,100,100,100,100,100,100,100,100,100,100,100
DELETE,/staging/users/1687067639582458835,1,0,89.86261599999779,89.86261599999779,89.86261599999779,89.86261599999779,25.0,0.0002779348899500177,0.0,90,90,90,90,90,90,90,90,90,90,90
DELETE,/staging/users/1687067642213520406,1,0,90.35395100000088,90.35395100000088,90.35395100000088,90.35395100000088,25.0,0.0002779348899500177,0.0,90,90,90,90,90,90,90,90,90,90,90
DELETE,/staging/users/1687067643885124838,1,0,94.24273399999805,94.24273399999805,94.24273399999805,94.24273399999805,25.0,0.0002779348899500177,0.0,94,94,94,94,94,94,94,94,94,94,94
PUT,/staging/users/1687067643885124838,1,0,88.40651499999552,88.40651499999552,88.40651499999552,88.40651499999552,160.0,0.0002779348899500177,0.0,88,88,88,88,88,88,88,88,88,88,88
DELETE,/staging/users/1687067644878393718,1,0,107.10528799999963,107.10528799999963,107.10528799999963,107.10528799999963,25.0,0.0002779348899500177,0.0,110,110,110,110,110,110,110,110,110,110,110
DELETE,/staging/users/1687067645418960073,1,0,92.68465600000297,92.68465600000297,92.68465600000297,92.68465600000297,25.0,0.0002779348899500177,0.0,93,93,93,93,93,93,93,93,93,93,93
PUT,/staging/users/1687067645418960073,2,0,87,90.15010949999791,86.97664399999638,93.32357499999944,160.0,0.0005558697799000354,0.0,93,93,93,93,93,93,93,93,93,93,93
DELETE,/staging/users/1687067646448376691,1,0,57.75532300000208,57.75532300000208,57.75532300000208,57.75532300000208,25.0,0.0002779348899500177,0.0,58,58,58,58,58,58,58,58,58,58,58
DELETE,/staging/users/1687067646473878104,1,0,89.35777599999994,89.35777599999994,89.35777599999994,89.35777599999994,25.0,0.0002779348899500177,0.0,89,89,89,89,89,89,89,89,89,89,89
DELETE,/staging/users/1687067646511022866,1,0,59.03675999999791,59.03675999999791,59.03675999999791,59.03675999999791,25.0,0.0002779348899500177,0.0,59,59,59,59,59,59,59,59,59,59,59
PUT,/staging/users/1687067646511022866,2,0,91.17306399999592,91.19170349999806,91.17306399999592,91.2103430000002,160.0,0.0005558697799000354,0.0,91,91,91,91,91,91,91,91,91,91,91
DELETE,/staging/users/1687067647532787218,1,0,87.69371799999703,87.69371799999703,87.69371799999703,87.69371799999703,25.0,0.0002779348899500177,0.0,88,88,88,88,88,88,88,88,88,88,88
PUT,/staging/users/1687067647532787218,2,0,90,91.6033714999962,89.67424899999799,93.53249399999441,160.0,0.0005558697799000354,0.0,94,94,94,94,94,94,94,94,94,94,94
DELETE,/staging/users/1687067647641307189,1,0,91.69419599999884,91.69419599999884,91.69419599999884,91.69419599999884,25.0,0.0002779348899500177,0.0,92,92,92,92,92,92,92,92,92,92,92
PUT,/staging/users/1687067647641307189,1,0,84.74579299999618,84.74579299999618,84.74579299999618,84.74579299999618,160.0,0.0002779348899500177,0.0,85,85,85,85,85,85,85,85,85,85,85
DELETE,/staging/users/1687067648422183016,1,0,90.653403999994,90.653403999994,90.653403999994,90.653403999994,25.0,0.0002779348899500177,0.0,91,91,91,91,91,91,91,91,91,91,91
PUT,/staging/users/1687067648422183016,1,0,99.76070200000464,99.76070200000464,99.76070200000464,99.76070200000464,160.0,0.0002779348899500177,0.0,100,100,100,100,100,100,100,100,100,100,100
DELETE,/staging/users/1687067649380319825,2,0,62.317582999995125,80.44055099999525,62.317582999995125,98.56351899999538,25.0,0.0005558697799000354,0.0,99,99,99,99,99,99,99,99,99,99,99
DELETE,/staging/users/1687067650993679280,1,0,87.02014200000008,87.02014200000008,87.02014200000008,87.02014200000008,25.0,0.0002779348899500177,0.0,87,87,87,87,87,87,87,87,87,87,87
PUT,/staging/users/1687067650993679280,2,0,56,75.18329699999882,55.74001099999748,94.62658300000015,160.0,0.0005558697799000354,0.0,95,95,95,95,95,95,95,95,95,95,95
DELETE,/staging/users/1687067652583564151,1,0,99.13077899999934,99.13077899999934,99.13077899999934,99.13077899999934,25.0,0.0002779348899500177,0.0,99,99,99,99,99,99,99,99,99,99,99
PUT,/staging/users/1687067652583564151,4,0,86.14922999999663,96.01278850000128,86.14922999999663,118.76834699999961,160.0,0.0011117395598000707,0.0,93,93,120,120,120,120,120,120,120,120,120
