Tactic,Value
without_t3,3.022179619145111
without_t3,6.390067763729567
without_t3,10.278679359520265
without_t3,15.162460854023768
without_t3,20.770242364391535
without_t3,26.830257043802387
without_t3,33.61544524486447
without_t3,34.00489622252036
without_t3,35.332590835039646
without_t3,37.76885417539352
without_t3,42.327343483475026
without_t3,48.911488650798276
with_t3,1.823901826121873
with_t3,3.5708592125658174
with_t3,5.191481047132692
with_t3,6.632410179307102
with_t3,8.377015069518716
with_t3,10.095652845494318
with_t3,12.31973651270146
with_t3,14.60841929257569
with_t3,17.536690216084164
with_t3,20.407704925847117
with_t3,24.613083774861337
with_t3,28.535354954146932
