Tactic,Load,Value
no_granular,0,0.4350652315252657
no_granular,0,0.4337635900539571
no_granular,0,0.4349241947637835
no_granular,0,0.43366359005395705
no_granular,0,0.4347635900539571
no_granular,0,0.43377359005395705
no_granular,0,0.4327635910539571
no_granular,0,0.43476359005399995
no_granular,0,0.4350652315252657
no_granular,0,0.4340652315252654
no_granular,0,0.435445231525265
no_granular,0,0.4360652315252655
no_granular,0,0.4340652315252659
no_granular,0,0.4330222215252657
no_granular,0,0.4351652315252652
no_granular,20,0.4918687642239359
no_granular,20,0.4727232579627841
no_granular,20,0.5599743475176777
no_granular,20,0.4629986956499687
no_granular,20,0.5098858419863043
no_granular,20,0.5117146946327145
no_granular,20,0.5067686755464532
no_granular,20,0.47355579246740875
no_granular,20,0.5286547356204419
no_granular,20,0.5008758146315772
no_granular,20,0.47382604239382436
no_granular,20,0.4636450343081297
no_granular,20,0.48607381432935093
no_granular,20,0.46562449571869485
no_granular,20,0.5065910340084602
no_granular,50,0.5690251340955965
no_granular,50,0.6262584944877697
no_granular,50,0.6651816346803145
no_granular,50,0.5760728013204269
no_granular,50,0.745073032159616
no_granular,50,0.6807249368054501
no_granular,50,0.6007384278403782
no_granular,50,0.8141957332081298
no_granular,50,0.5455183263742895
no_granular,50,0.5719459713099251
no_granular,50,0.619119265407014
no_granular,50,0.5986029906605899
no_granular,50,0.653888262948592
no_granular,50,0.5756868732146249
no_granular,50,0.6195194629879814
no_granular,100,0.7695111586074035
no_granular,100,0.8948643762172522
no_granular,100,0.8448359453854832
no_granular,100,1.2526230889118983
no_granular,100,1.2563658715308508
no_granular,100,0.9866184498865465
no_granular,100,0.8137214484970952
no_granular,100,0.9884598869044613
no_granular,100,1.0712239048783923
no_granular,100,0.965647124862284
no_granular,100,1.087270681154283
no_granular,100,1.0927051517416035
no_granular,100,0.9407840008335144
no_granular,100,1.153055536377932
no_granular,100,1.1399425681392572
granular,0,0.2169695773909999
granular,0,0.21733160890753167
granular,0,0.21708598748459443
granular,0,0.2171001236009139
granular,0,0.20773012780414354
granular,0,0.2106305481884987
granular,0,0.21695189767695952
granular,0,0.21695573728687323
granular,0,0.21565541689363688
granular,0,0.2182394768997636
granular,0,0.21706268894430344
granular,0,0.2169617726897887
granular,0,0.21694824085028364
granular,0,0.2141198678843056
granular,0,0.21565541689363688
granular,20,0.21866724106991361
granular,20,0.30151060344795033
granular,20,0.2857015363516749
granular,20,0.27816286274584856
granular,20,0.25131296588451935
granular,20,0.27845919177927164
granular,20,0.28168851422799535
granular,20,0.2572879800266221
granular,20,0.25782290031144167
granular,20,0.2732850857737074
granular,20,0.25139826273784616
granular,20,0.32187538196958976
granular,20,0.27211819823069683
granular,20,0.26545528308024413
granular,20,0.29349753530163275
granular,50,0.4086274862111602
granular,50,0.41412115381433057
granular,50,0.40885379842777997
granular,50,0.3878642473629644
granular,50,0.3585187266118955
granular,50,0.3425581551926772
granular,50,0.3721175570632974
granular,50,0.4410584962563022
granular,50,0.3354419644515849
granular,50,0.3424635221343941
granular,50,0.36577709717067786
granular,50,0.2892399883852558
granular,50,0.3987171295634656
granular,50,0.41990948194162664
granular,50,0.35729092383100397
granular,100,0.8811014733244998
granular,100,1.1232418210730073
granular,100,0.9629578001800162
granular,100,0.6189050534563826
granular,100,0.6230500610195886
granular,100,0.706633068869902
granular,100,1.0749725700968904
granular,100,0.5975526795052102
granular,100,0.627474207109849
granular,100,0.6010882465806738
granular,100,1.0802339551887252
granular,100,0.994309066534731
granular,100,0.693605302625451
granular,100,0.7982351610957231
granular,100,0.6286612526383457
