Deployment,Load,Value
container,0,0.4350652315252657
container,0,0.4337635900539571
container,0,0.4349241947637835
container,0,0.43366359005395705
container,0,0.4347635900539571
container,0,0.43377359005395705
container,0,0.4327635910539571
container,0,0.43476359005399995
container,0,0.4350652315252657
container,0,0.4340652315252654
container,0,0.435445231525265
container,0,0.4360652315252655
container,0,0.4340652315252659
container,0,0.4330222215252657
container,0,0.4351652315252652
container,20,0.4918687642239359
container,20,0.4727232579627841
container,20,0.5599743475176777
container,20,0.4629986956499687
container,20,0.5098858419863043
container,20,0.5117146946327145
container,20,0.5067686755464532
container,20,0.47355579246740875
container,20,0.5286547356204419
container,20,0.5008758146315772
container,20,0.47382604239382436
container,20,0.4636450343081297
container,20,0.48607381432935093
container,20,0.46562449571869485
container,20,0.5065910340084602
container,50,0.5690251340955965
container,50,0.6262584944877697
container,50,0.6651816346803145
container,50,0.5760728013204269
container,50,0.745073032159616
container,50,0.6807249368054501
container,50,0.6007384278403782
container,50,0.8141957332081298
container,50,0.5455183263742895
container,50,0.5719459713099251
container,50,0.619119265407014
container,50,0.5986029906605899
container,50,0.653888262948592
container,50,0.5756868732146249
container,50,0.6195194629879814
container,100,0.7695111586074035
container,100,0.8948643762172522
container,100,0.8448359453854832
container,100,1.2526230889118983
container,100,1.2563658715308508
container,100,0.9866184498865465
container,100,0.8137214484970952
container,100,0.9884598869044613
container,100,1.0712239048783923
container,100,0.965647124862284
container,100,1.087270681154283
container,100,1.0927051517416035
container,100,0.9407840008335144
container,100,1.153055536377932
container,100,1.1399425681392572
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,0,4.1046140000000004e-06
serverless,20,0.027357324319444445
serverless,20,0.04648778399999999
serverless,20,0.016229819
serverless,20,0.019194457916666668
serverless,20,0.06036971993055555
serverless,20,0.029519729472222228
serverless,20,0.01619255631944445
serverless,20,0.05799894454166667
serverless,20,0.03687518209722222
serverless,20,0.033523378916666666
serverless,20,0.05785290156944445
serverless,20,0.012185397833333335
serverless,20,0.04221176608333333
serverless,20,0.04930654704166667
serverless,20,0.014379551458333334
serverless,50,0.06629866356944444
serverless,50,0.09124226851388889
serverless,50,0.056643786069444445
serverless,50,0.15297817533333333
serverless,50,0.07393116338888889
serverless,50,0.12019353323611112
serverless,50,0.13220982868055559
serverless,50,0.23930461066666667
serverless,50,0.08597469568055556
serverless,50,0.08407246090277777
serverless,50,0.11075738600000003
serverless,50,0.027097655236111115
serverless,50,0.08420964772222224
serverless,50,0.2908053113333333
serverless,50,0.010828401291666668
serverless,100,0.3763136386666667
serverless,100,0.25341680656944454
serverless,100,0.625929317625
serverless,100,0.3828103786666668
serverless,100,0.2602256841805556
serverless,100,0.37126730255555557
serverless,100,0.3913343421666667
serverless,100,0.48564735633333334
serverless,100,0.6547250148333335
serverless,100,0.44986298490277776
serverless,100,0.7190978829166665
serverless,100,0.5621539892083334
serverless,100,0.24582223781944446
serverless,100,0.029944991902777777
serverless,100,0.4758679914027778
