Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/staging/users,11555,4,100.0,375.1206277652099,56.83926900002234,155428.83358900007,4492.160276936391,3.212266965760272,0.0011119920262259704,100,130,160,190,330,450,880,2000,83000,140000,155000
POST,/staging/users,1676,0,96,251.44742683770875,55.59120299994902,82595.21558699998,160.0,0.4659246589886816,0.0,96,110,140,160,290,420,820,1300,22000,83000,83000
DELETE,/staging/users/1687023834971031762,1,0,88.79522400000184,88.79522400000184,88.79522400000184,88.79522400000184,25.0,0.0002779980065564926,0.0,89,89,89,89,89,89,89,89,89,89,89
PUT,/staging/users/1687023834971031762,2,0,90,480.9289444999987,89.70469799999847,872.1531909999989,160.0,0.0005559960131129852,0.0,870,870,870,870,870,870,870,870,870,870,870
DELETE,/staging/users/1687023837499519047,1,0,91.46902599999862,91.46902599999862,91.46902599999862,91.46902599999862,25.0,0.0002779980065564926,0.0,91,91,91,91,91,91,91,91,91,91,91
DELETE,/staging/users/1687023838905843661,1,0,656.5189619999999,656.5189619999999,656.5189619999999,656.5189619999999,25.0,0.0002779980065564926,0.0,660,660,660,660,660,660,660,660,660,660,660
DELETE,/staging/users/1687023840684953591,1,0,85.24570500000195,85.24570500000195,85.24570500000195,85.24570500000195,25.0,0.0002779980065564926,0.0,85,85,85,85,85,85,85,85,85,85,85
DELETE,/staging/users/1687023841744763748,1,0,86.9474680000053,86.9474680000053,86.9474680000053,86.9474680000053,25.0,0.0002779980065564926,0.0,87,87,87,87,87,87,87,87,87,87,87
PUT,/staging/users/1687023841744763748,2,0,88.40928400000081,457.22217150000154,88.40928400000081,826.0350590000023,160.0,0.0005559960131129852,0.0,830,830,830,830,830,830,830,830,830,830,830
DELETE,/staging/users/1687023849177097139,1,0,61.67502499999955,61.67502499999955,61.67502499999955,61.67502499999955,25.0,0.0002779980065564926,0.0,62,62,62,62,62,62,62,62,62,62,62
PUT,/staging/users/1687023849177097139,2,0,85.43507799999972,85.95828650000037,85.43507799999972,86.48149500000102,160.0,0.0005559960131129852,0.0,86,86,86,86,86,86,86,86,86,86,86
DELETE,/staging/users/1687023854271684014,1,0,83.64275600000326,83.64275600000326,83.64275600000326,83.64275600000326,25.0,0.0002779980065564926,0.0,84,84,84,84,84,84,84,84,84,84,84
PUT,/staging/users/1687023854271684014,1,0,90.28970300000339,90.28970300000339,90.28970300000339,90.28970300000339,160.0,0.0002779980065564926,0.0,90,90,90,90,90,90,90,90,90,90,90
DELETE,/staging/users/1687023854285401669,1,0,68.45919300000247,68.45919300000247,68.45919300000247,68.45919300000247,25.0,0.0002779980065564926,0.0,68,68,68,68,68,68,68,68,68,68,68
PUT,/staging/users/1687023854285401669,2,0,84.41770900000023,88.14469400000036,84.41770900000023,91.87167900000048,160.0,0.0005559960131129852,0.0,92,92,92,92,92,92,92,92,92,92,92
DELETE,/staging/users/1687023856193560930,1,0,95.2793399999976,95.2793399999976,95.2793399999976,95.2793399999976,25.0,0.0002779980065564926,0.0,95,95,95,95,95,95,95,95,95,95,95
PUT,/staging/users/1687023856193560930,2,0,86.41362699999888,102.80232949999757,86.41362699999888,119.19103199999626,160.0,0.0005559960131129852,0.0,120,120,120,120,120,120,120,120,120,120,120
DELETE,/staging/users/1687023856570156883,1,0,89.9383940000007,89.9383940000007,89.9383940000007,89.9383940000007,25.0,0.0002779980065564926,0.0,90,90,90,90,90,90,90,90,90,90,90
PUT,/staging/users/1687023856570156883,1,0,84.67004299999559,84.67004299999559,84.67004299999559,84.67004299999559,160.0,0.0002779980065564926,0.0,85,85,85,85,85,85,85,85,85,85,85
DELETE,/staging/users/1687023856766030055,1,0,87.2129409999971,87.2129409999971,87.2129409999971,87.2129409999971,25.0,0.0002779980065564926,0.0,87,87,87,87,87,87,87,87,87,87,87
