Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,30746,0,42,61.76634829912824,19.78741699999631,848.9287910001622,14781.777044168348,8.543757428506067,0.0,42,49,56,62,99,190,300,380,720,800,850
POST,/users,4354,0,31,46.08104700092174,17.120208000051207,782.9071670003032,0.0,1.2098978678109484,0.0,31,36,42,46,63,120,270,330,510,780,780
DELETE,/users/1686778215193103946,1,0,23.533207999999917,23.533207999999917,23.533207999999917,23.533207999999917,0.0,0.0002778819172739891,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1686778215193103946,1,0,24.781167000000437,24.781167000000437,24.781167000000437,24.781167000000437,0.0,0.0002778819172739891,0.0,25,25,25,25,25,25,25,25,25,25,25
DELETE,/users/1686778225249658034,1,0,21.515875000000406,21.515875000000406,21.515875000000406,21.515875000000406,0.0,0.0002778819172739891,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686778228241973297,1,0,24.43879200000154,24.43879200000154,24.43879200000154,24.43879200000154,0.0,0.0002778819172739891,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1686778231291960303,1,0,24.26933399999953,24.26933399999953,24.26933399999953,24.26933399999953,0.0,0.0002778819172739891,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1686778231291960303,9,0,23,24.4024582222223,17.955125000000294,36.50499999999823,0.0,0.002500937255465902,0.0,23,24,25,32,37,37,37,37,37,37,37
DELETE,/users/1686778232267943405,1,0,22.766958000001836,22.766958000001836,22.766958000001836,22.766958000001836,0.0,0.0002778819172739891,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/users/1686778232267943405,1,0,31.985166999998427,31.985166999998427,31.985166999998427,31.985166999998427,0.0,0.0002778819172739891,0.0,32,32,32,32,32,32,32,32,32,32,32
DELETE,/users/1686778232273264443,1,0,27.7408329999993,27.7408329999993,27.7408329999993,27.7408329999993,0.0,0.0002778819172739891,0.0,28,28,28,28,28,28,28,28,28,28,28
DELETE,/users/1686778240309269494,1,0,31.400708999999694,31.400708999999694,31.400708999999694,31.400708999999694,0.0,0.0002778819172739891,0.0,31,31,31,31,31,31,31,31,31,31,31
PUT,/users/1686778240309269494,1,0,30.868875000003015,30.868875000003015,30.868875000003015,30.868875000003015,0.0,0.0002778819172739891,0.0,31,31,31,31,31,31,31,31,31,31,31
DELETE,/users/1686778240350442655,1,0,23.3603329999994,23.3603329999994,23.3603329999994,23.3603329999994,0.0,0.0002778819172739891,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1686778243411772897,2,0,23.05679199999844,23.899062499999957,23.05679199999844,24.741333000001475,0.0,0.0005557638345479782,0.0,25,25,25,25,25,25,25,25,25,25,25
PUT,/users/1686778243411772897,1,0,21.825624999998183,21.825624999998183,21.825624999998183,21.825624999998183,0.0,0.0002778819172739891,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/users/1686778244334129463,2,0,24,28.044208499999,23.631332999997312,32.45708400000069,0.0,0.0005557638345479782,0.0,32,32,32,32,32,32,32,32,32,32,32
PUT,/users/1686778244334129463,1,0,26.22625000000056,26.22625000000056,26.22625000000056,26.22625000000056,0.0,0.0002778819172739891,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1686778247412874741,1,0,33.21008300000017,33.21008300000017,33.21008300000017,33.21008300000017,0.0,0.0002778819172739891,0.0,33,33,33,33,33,33,33,33,33,33,33
PUT,/users/1686778247412874741,1,0,22.53183299999506,22.53183299999506,22.53183299999506,22.53183299999506,0.0,0.0002778819172739891,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1686778248358384167,2,0,34,35.342500000002275,33.70508300000097,36.97991700000358,0.0,0.0005557638345479782,0.0,37,37,37,37,37,37,37,37,37,37,37
DELETE,/users/1686778248390513396,2,0,24.32237499999701,28.164749999998406,24.32237499999701,32.0071249999998,0.0,0.0005557638345479782,0.0,32,32,32,32,32,32,32,32,32,32,32
PUT,/users/1686778248390513396,3,0,21,20.780000333331827,20.112834000002522,21.126457999997683,0.0,0.0008336457518219672,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686778249498284569,1,0,18.898749999998188,18.898749999998188,18.898749999998188,18.898749999998188,0.0,0.0002778819172739891,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,/users/1686778250375249660,2,0,23,30.500062499999814,22.98058400000258,38.01954099999705,0.0,0.0005557638345479782,0.0,38,38,38,38,38,38,38,38,38,38,38
DELETE,/users/1686778251383439493,1,0,21.325375000003532,21.325375000003532,21.325375000003532,21.325375000003532,0.0,0.0002778819172739891,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1686778251383439493,1,0,20.90145799999732,20.90145799999732,20.90145799999732,20.90145799999732,0.0,0.0002778819172739891,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686778251400521312,1,0,32.06837500000148,32.06837500000148,32.06837500000148,32.06837500000148,0.0,0.0002778819172739891,0.0,32,32,32,32,32,32,32,32,32,32,32
DELETE,/users/1686778254408878071,2,0,19.381958000003863,20.505271000001102,19.381958000003863,21.62858399999834,0.0,0.0005557638345479782,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1686778254408878071,2,0,20.07304199999993,21.53300000000158,20.07304199999993,22.992958000003227,0.0,0.0005557638345479782,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1686778256421198304,1,0,30.146208000005004,30.146208000005004,30.146208000005004,30.146208000005004,0.0,0.0002778819172739891,0.0,30,30,30,30,30,30,30,30,30,30,30
DELETE,/users/1686778257542136535,3,0,27,27.237722000002407,19.5532500000013,35.031541000002164,0.0,0.0008336457518219672,0.0,27,27,35,35,35,35,35,35,35,35,35
PUT,/users/1686778257542136535,1,0,25.65433299999853,25.65433299999853,25.65433299999853,25.65433299999853,0.0,0.0002778819172739891,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1686778258460396186,2,0,25.44950000000057,27.79837499999971,25.44950000000057,30.14724999999885,0.0,0.0005557638345479782,0.0,30,30,30,30,30,30,30,30,30,30,30
PUT,/users/1686778258460396186,6,0,20,23.064653000001083,18.543167000004246,35.29483400000544,0.0,0.0016672915036439345,0.0,22,22,24,24,35,35,35,35,35,35,35
DELETE,/users/1686778260463305489,1,0,26.14874999999728,26.14874999999728,26.14874999999728,26.14874999999728,0.0,0.0002778819172739891,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1686778260463585868,3,0,22,21.27059733333425,20.105749999999034,22.002374999999574,0.0,0.0008336457518219672,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1686778260463585868,2,0,24.018832999999518,28.240916499999713,24.018832999999518,32.46299999999991,0.0,0.0005557638345479782,0.0,32,32,32,32,32,32,32,32,32,32,32
DELETE,/users/1686778261458151220,1,0,25.643666000000565,25.643666000000565,25.643666000000565,25.643666000000565,0.0,0.0002778819172739891,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1686778261475934033,1,0,23.548375000004285,23.548375000004285,23.548375000004285,23.548375000004285,0.0,0.0002778819172739891,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1686778261475934033,3,0,23,23.509541666664784,18.721917000000587,28.411749999996516,0.0,0.0008336457518219672,0.0,23,23,28,28,28,28,28,28,28,28,28
DELETE,/users/1686778262482566041,1,0,23.898624999993956,23.898624999993956,23.898624999993956,23.898624999993956,0.0,0.0002778819172739891,0.0,24,24,24,24,24,24,24,24,24,24,24
DELETE,/users/1686778262482713179,1,0,35.58154200000274,35.58154200000274,35.58154200000274,35.58154200000274,0.0,0.0002778819172739891,0.0,36,36,36,36,36,36,36,36,36,36,36
DELETE,/users/1686778262482848745,1,0,23.990666999999632,23.990666999999632,23.990666999999632,23.990666999999632,0.0,0.0002778819172739891,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1686778262482848745,1,0,26.177333000006797,26.177333000006797,26.177333000006797,26.177333000006797,0.0,0.0002778819172739891,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/users/1686778262494868324,1,0,21.07966700000219,21.07966700000219,21.07966700000219,21.07966700000219,0.0,0.0002778819172739891,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686778264486769071,1,0,20.97754199999713,20.97754199999713,20.97754199999713,20.97754199999713,0.0,0.0002778819172739891,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1686778264486769071,2,0,19,20.873666999996487,18.999291999996615,22.74804199999636,0.0,0.0005557638345479782,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1686778265534085335,1,0,42.88912500000208,42.88912500000208,42.88912500000208,42.88912500000208,0.0,0.0002778819172739891,0.0,43,43,43,43,43,43,43,43,43,43,43
DELETE,/users/1686778265548859626,1,0,24.012874999996825,24.012874999996825,24.012874999996825,24.012874999996825,0.0,0.0002778819172739891,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/users/1686778265548859626,3,0,31,32.56622233333436,30.083541999999852,37.115083000003324,0.0,0.0008336457518219672,0.0,31,31,37,37,37,37,37,37,37,37,37
DELETE,/users/1686778266555781957,1,0,19.891290999993316,19.891290999993316,19.891290999993316,19.891290999993316,0.0,0.0002778819172739891,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1686778266555781957,5,0,21,25.183517000002098,19.802709000003915,38.885792000002084,0.0,0.0013894095863699453,0.0,21,27,27,39,39,39,39,39,39,39,39
DELETE,/users/1686778267506922815,1,0,21.83283400000846,21.83283400000846,21.83283400000846,21.83283400000846,0.0,0.0002778819172739891,0.0,22,22,22,22,22,22,22,22,22,22,22
PUT,/users/1686778267506922815,2,0,20.476999999999634,22.641729000000055,20.476999999999634,24.806458000000475,0.0,0.0005557638345479782,0.0,25,25,25,25,25,25,25,25,25,25,25
DELETE,/users/1686778267507196238,1,0,20.94254200000023,20.94254200000023,20.94254200000023,20.94254200000023,0.0,0.0002778819172739891,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/users/1686778268545850620,1,0,22.869042000003503,22.869042000003503,22.869042000003503,22.869042000003503,0.0,0.0002778819172739891,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,/users/1686778268545850620,1,0,22.99704200000008,22.99704200000008,22.99704200000008,22.99704200000008,0.0,0.0002778819172739891,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/users/1686778268563903448,1,0,40.660249999994846,40.660249999994846,40.660249999994846,40.660249999994846,0.0,0.0002778819172739891,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/users/1686778269528956922,1,0,20.021249999999213,20.021249999999213,20.021249999999213,20.021249999999213,0.0,0.0002778819172739891,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/users/1686778269528956922,1,0,19.98375000000152,19.98375000000152,19.98375000000152,19.98375000000152,0.0,0.0002778819172739891,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,/users/1686778269549634921,1,0,37.853999999995835,37.853999999995835,37.853999999995835,37.853999999995835,0.0,0.0002778819172739891,0.0,38,38,38,38,38,38,38,38,38,38,38
DELETE,/users/1686778269557809114,2,0,19.484124999998187,20.04677100000052,19.484124999998187,20.60941700000285,0.0,0.0005557638345479782,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/users/1686778269557809114,4,0,20,24.097874999998936,17.92762499999867,37.80658299999118,0.0,0.0011115276690959563,0.0,21,21,38,38,38,38,38,38,38,38,38
DELETE,/users/1686778270583965879,1,0,33.65245900000957,33.65245900000957,33.65245900000957,33.65245900000957,0.0,0.0002778819172739891,0.0,34,34,34,34,34,34,34,34,34,34,34
PUT,/users/1686778270583965879,1,0,25.51125000000809,25.51125000000809,25.51125000000809,25.51125000000809,0.0,0.0002778819172739891,0.0,26,26,26,26,26,26,26,26,26,26,26
