Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1686566895,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1686566896,1,,Aggregated,0.000000,0.000000,980,980,980,980,980,980,980,980,980,980,980,1,0,977.3705850000001,977.3705850000001,977.3705850000001,977.3705850000001,2.0
1686566897,2,,Aggregated,0.000000,0.000000,980,980,980,980,980,980,980,980,980,980,980,2,0,690.0,831.686915,686.0032449999998,977.3705850000001,81.0
1686566898,3,,Aggregated,0.000000,0.000000,690,690,980,980,980,980,980,980,980,980,980,3,0,690.0,592.1430566666667,113.05533999999983,977.3705850000001,107.33333333333333
1686566899,4,,Aggregated,0.500000,0.000000,690,690,980,980,980,980,980,980,980,980,980,4,0,130.0,477.1196937499999,113.05533999999983,977.3705850000001,161.25
1686566900,5,,Aggregated,0.666667,0.000000,130,690,690,980,980,980,980,980,980,980,980,5,0,130.0,406.1877484,113.05533999999983,977.3705850000001,193.6
1686566901,6,,Aggregated,0.750000,0.000000,130,130,690,690,980,980,980,980,980,980,980,6,0,130.0,360.47932099999997,113.05533999999983,977.3705850000001,215.16666666666666
1686566902,7,,Aggregated,0.800000,0.000000,130,130,620,690,980,980,980,980,980,980,980,10,0,120.0,302.68584139999973,57.09633199999864,977.3705850000001,228.3
1686566903,8,,Aggregated,0.833333,0.000000,130,130,620,660,690,980,980,980,980,980,980,13,0,130.0,296.7237829999998,49.013707000000295,977.3705850000001,237.6153846153846
1686566904,9,,Aggregated,0.857143,0.000000,120,130,130,620,690,980,980,980,980,980,980,17,0,120.0,244.07981041176464,47.285526000001354,977.3705850000001,230.58823529411765
1686566905,10,,Aggregated,1.250000,0.000000,120,130,130,620,690,980,980,980,980,980,980,20,0,110.0,222.09165049999984,47.285526000001354,977.3705850000001,220.2
1686566906,11,,Aggregated,1.444444,0.000000,120,130,130,130,660,690,980,980,980,980,980,22,0,110.0,210.7974423636362,47.285526000001354,977.3705850000001,214.9090909090909
1686566907,12,,Aggregated,1.700000,0.000000,110,130,130,130,660,690,980,980,980,980,980,26,0,110.0,191.98266953846138,47.285526000001354,977.3705850000001,206.76923076923077
1686566908,13,,Aggregated,2.000000,0.000000,110,130,130,130,660,690,980,980,980,980,980,29,0,110.0,178.67234479310324,46.30060599999908,977.3705850000001,202.13793103448276
1686566909,14,,Aggregated,2.100000,0.000000,110,130,130,130,620,690,980,980,980,980,980,32,0,85,169.33053693749977,46.30060599999908,977.3705850000001,198.375
1686566911,15,,Aggregated,2.400000,0.000000,85,120,130,130,620,690,980,980,980,980,980,35,0,85,161.46269351428555,45.123115999999186,977.3705850000001,195.25714285714287
1686566912,16,,Aggregated,2.600000,0.000000,85,120,130,130,620,690,980,980,980,980,980,38,0,77,155.74444905263144,45.123115999999186,977.3705850000001,192.6315789473684
1686566913,17,,Aggregated,2.800000,0.000000,75,110,130,130,140,660,980,980,980,980,980,43,0,75,144.81521986046485,42.71114399999831,977.3705850000001,178.4418604651163
1686566914,18,,Aggregated,3.000000,0.000000,75,110,130,130,420,660,980,980,980,980,980,48,0,72,144.45546799999977,42.71114399999831,977.3705850000001,160.0625
1686566915,19,,Aggregated,3.200000,0.000000,72,110,130,130,140,660,690,980,980,980,980,52,0,72,138.63360392307663,42.71114399999831,977.3705850000001,147.90384615384616
1686566916,20,,Aggregated,3.300000,0.000000,72,110,130,130,140,660,690,980,980,980,980,56,0,72,134.25312616071398,42.71114399999831,977.3705850000001,137.48214285714286
1686566917,21,,Aggregated,3.500000,0.000000,72,110,120,130,140,660,690,980,980,980,980,60,0,71,129.94110846666632,42.71114399999831,977.3705850000001,128.45
1686566918,22,,Aggregated,3.500000,0.000000,71,100,120,130,140,620,690,980,980,980,980,65,0,71,125.4877046923074,42.71114399999831,977.3705850000001,121.15384615384616
1686566919,23,,Aggregated,3.600000,0.000000,70,100,110,130,130,620,690,980,980,980,980,73,0,70,118.49657315068467,39.24854699999969,977.3705850000001,125.57534246575342
