"Load","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"0",30,0,0,0.216,0.217,0.221,0.435,0.436
"20",30,0.012,0.034,0.262,0.264,0.235,0.49,0.56
"50",30,0.011,0.087,0.418,0.37,0.275,0.615,0.814
"100",30,0.03,0.406,0.744,0.718,0.345,0.988,1.256
